arxiv_category,keyword_group,query,requested_cap,n_fetched,timestamp
cond-mat.mtrl-sci,"electrical resistance, lattice vibrations, thermal vibration, metallic purity, ionic irregularities","cat:cond-mat.mtrl-sci AND (all:""electrical resistance"" OR all:""lattice vibrations"" OR all:""thermal vibration"" OR all:""metallic purity"" OR all:""ionic irregularities"")",13,13,2026-07-03T12:57:55.042183+0000
cond-mat.mtrl-sci,"electromagnetic absorption, high-frequency refraction, material transparency, dielectric loss, optical transparency","cat:cond-mat.mtrl-sci AND (all:""electromagnetic absorption"" OR all:""high-frequency refraction"" OR all:""material transparency"" OR all:""dielectric loss"" OR all:""optical transparency"")",13,13,2026-07-03T12:57:59.356280+0000
cond-mat.mtrl-sci,"electromagnetic absorption, high-frequency propagation, dielectric loss, material transparency","cat:cond-mat.mtrl-sci AND (all:""electromagnetic absorption"" OR all:""high-frequency propagation"" OR all:""dielectric loss"" OR all:""material transparency"")",13,13,2026-07-03T12:58:04.080437+0000
cond-mat.mtrl-sci,"crystal oscillators, piezoelectric strain coefficient, electromechanical coupling, AT-cut quartz, crystal lattice","cat:cond-mat.mtrl-sci AND (all:""crystal oscillators"" OR all:""piezoelectric strain coefficient"" OR all:""electromechanical coupling"" OR all:""AT-cut quartz"" OR all:""crystal lattice"")",13,13,2026-07-03T12:58:08.990601+0000
cond-mat.mtrl-sci,"inversion point, mirror plane, improper rotation, symmetry elements, rotation axis","cat:cond-mat.mtrl-sci AND (all:""inversion point"" OR all:""mirror plane"" OR all:""improper rotation"" OR all:""symmetry elements"" OR all:""rotation axis"")",13,13,2026-07-03T12:58:13.509531+0000
cond-mat.mtrl-sci,"three-dimensional space, crystallographic point groups, crystal systems, symmetry operations","cat:cond-mat.mtrl-sci AND (all:""three-dimensional space"" OR all:""crystallographic point groups"" OR all:""crystal systems"" OR all:""symmetry operations"")",13,13,2026-07-03T12:58:18.439922+0000
cond-mat.mtrl-sci,"NMR frequency, magnetic susceptibility, crystal susceptibility, magnetic field distortion, Evans balance","cat:cond-mat.mtrl-sci AND (all:""NMR frequency"" OR all:""magnetic susceptibility"" OR all:""crystal susceptibility"" OR all:""magnetic field distortion"" OR all:""Evans balance"")",13,13,2026-07-03T12:58:26.866578+0000
nlin.AO,"Ilya Prigogine, complexity from noise, dissipative structures, non-equilibrium thermodynamics","cat:nlin.AO AND (all:""Ilya Prigogine"" OR all:""complexity from noise"" OR all:""dissipative structures"" OR all:""non-equilibrium thermodynamics"")",150,19,2026-07-03T12:58:30.934245+0000
physics.ao-ph,"emerging organized systems, large-scale processes, emerging organized structures, aggregated feedback, time-varying multistability","cat:physics.ao-ph AND (all:""emerging organized systems"" OR all:""large-scale processes"" OR all:""emerging organized structures"" OR all:""aggregated feedback"" OR all:""time-varying multistability"")",37,6,2026-07-03T12:58:34.704274+0000
physics.ao-ph,"large-scale processes, organized frameworks, aggregated feedback, time-varying multistability, chaotic dynamics","cat:physics.ao-ph AND (all:""large-scale processes"" OR all:""organized frameworks"" OR all:""aggregated feedback"" OR all:""time-varying multistability"" OR all:""chaotic dynamics"")",37,37,2026-07-03T12:58:39.355686+0000
physics.ao-ph,"emerging organized frameworks, large-scale processes, aggregated feedback, time-varying multistability, emerging organized mechanisms","cat:physics.ao-ph AND (all:""emerging organized frameworks"" OR all:""large-scale processes"" OR all:""aggregated feedback"" OR all:""time-varying multistability"" OR all:""emerging organized mechanisms"")",37,6,2026-07-03T12:58:43.100991+0000
physics.ao-ph,"atmospheric refraction, light wavelength, spectral absorption, Rayleigh scattering","cat:physics.ao-ph AND (all:""atmospheric refraction"" OR all:""light wavelength"" OR all:""spectral absorption"" OR all:""Rayleigh scattering"")",37,18,2026-07-03T12:58:46.932109+0000
math.PR,"probability mass function, probability density function, continuous vs discrete distributions, random variables","cat:math.PR AND (all:""probability mass function"" OR all:""probability density function"" OR all:""continuous vs discrete distributions"" OR all:""random variables"")",150,150,2026-07-03T12:58:56.326550+0000
cond-mat.str-el,"magnetic fields, De Haas-Van Alphen effect, magnetization, Fermi surface, differential susceptibility","cat:cond-mat.str-el AND (all:""magnetic fields"" OR all:""De Haas-Van Alphen effect"" OR all:""magnetization"" OR all:""Fermi surface"" OR all:""differential susceptibility"")",13,13,2026-07-03T12:59:01.552417+0000
cond-mat.str-el,"electromagnetic phenomena, quantum mechanics, magnetic field, superconductor, spin axis","cat:cond-mat.str-el AND (all:""electromagnetic phenomena"" OR all:""quantum mechanics"" OR all:""magnetic field"" OR all:""superconductor"" OR all:""spin axis"")",13,13,2026-07-03T12:59:06.872326+0000
cond-mat.str-el,"density of states, metallic conductivity, electronic entropy, Fermi level, insulator properties","cat:cond-mat.str-el AND (all:""density of states"" OR all:""metallic conductivity"" OR all:""electronic entropy"" OR all:""Fermi level"" OR all:""insulator properties"")",13,13,2026-07-03T12:59:11.673935+0000
cond-mat.str-el,"microscopic length scales, wavevector dependence, material parameters, spatial dispersion, continuous media","cat:cond-mat.str-el AND (all:""microscopic length scales"" OR all:""wavevector dependence"" OR all:""material parameters"" OR all:""spatial dispersion"" OR all:""continuous media"")",13,13,2026-07-03T12:59:16.605892+0000
cond-mat.str-el,"density of states, solid-state physics, electronic entropy, Fermi level, insulators and metals","cat:cond-mat.str-el AND (all:""density of states"" OR all:""solid-state physics"" OR all:""electronic entropy"" OR all:""Fermi level"" OR all:""insulators and metals"")",13,13,2026-07-03T12:59:21.807585+0000
cond-mat.str-el,"physical structure, physical systems, phase transitions, symmetry breaking, order parameter","cat:cond-mat.str-el AND (all:""physical structure"" OR all:""physical systems"" OR all:""phase transitions"" OR all:""symmetry breaking"" OR all:""order parameter"")",13,13,2026-07-03T12:59:27.334076+0000
cond-mat.str-el,"physical framework, physical mechanisms, phase transitions, symmetry breaking, order parameter","cat:cond-mat.str-el AND (all:""physical framework"" OR all:""physical mechanisms"" OR all:""phase transitions"" OR all:""symmetry breaking"" OR all:""order parameter"")",13,13,2026-07-03T12:59:32.527764+0000
cond-mat.str-el,"magnetic field oscillations, AC permeability, De Haas-Van Alphen effect, Fermi surface, differential susceptibility","cat:cond-mat.str-el AND (all:""magnetic field oscillations"" OR all:""AC permeability"" OR all:""De Haas-Van Alphen effect"" OR all:""Fermi surface"" OR all:""differential susceptibility"")",13,13,2026-07-03T12:59:37.745067+0000
cond-mat.str-el,"collective field, electromagnetic gauge symmetry, superconductors, order parameter","cat:cond-mat.str-el AND (all:""collective field"" OR all:""electromagnetic gauge symmetry"" OR all:""superconductors"" OR all:""order parameter"")",13,13,2026-07-03T12:59:41.995653+0000
cond-mat.str-el,"magnetization dynamics, precessional motion, Landau-Lifshitz-Gilbert equation, ferromagnetic materials, micromagnetics","cat:cond-mat.str-el AND (all:""magnetization dynamics"" OR all:""precessional motion"" OR all:""Landau-Lifshitz-Gilbert equation"" OR all:""ferromagnetic materials"" OR all:""micromagnetics"")",13,13,2026-07-03T12:59:46.447647+0000
cond-mat.str-el,"unpaired electrons, dipole interaction, thermal agitation, magnetic dipoles, permanent moment","cat:cond-mat.str-el AND (all:""unpaired electrons"" OR all:""dipole interaction"" OR all:""thermal agitation"" OR all:""magnetic dipoles"" OR all:""permanent moment"")",13,13,2026-07-03T12:59:50.955988+0000
astro-ph.GA,"molecular clouds, internal pressure, stellar formation, interstellar medium, gravitational collapse","cat:astro-ph.GA AND (all:""molecular clouds"" OR all:""internal pressure"" OR all:""stellar formation"" OR all:""interstellar medium"" OR all:""gravitational collapse"")",5,5,2026-07-03T12:59:55.652003+0000
astro-ph.GA,"gravitationally bound, orbital mechanics, non-stellar objects, planetary structure","cat:astro-ph.GA AND (all:""gravitationally bound"" OR all:""orbital mechanics"" OR all:""non-stellar objects"" OR all:""planetary structure"")",5,5,2026-07-03T13:00:00.410194+0000
astro-ph.GA,"astronomical spectroscopy, stellar velocity, Doppler effect, Fraunhofer lines","cat:astro-ph.GA AND (all:""astronomical spectroscopy"" OR all:""stellar velocity"" OR all:""Doppler effect"" OR all:""Fraunhofer lines"")",5,5,2026-07-03T13:00:07.997518+0000
astro-ph.GA,"energy shifts, radiation field, blueshifting, redshifting, light-matter interactions","cat:astro-ph.GA AND (all:""energy shifts"" OR all:""radiation field"" OR all:""blueshifting"" OR all:""redshifting"" OR all:""light-matter interactions"")",5,5,2026-07-03T13:00:13.125620+0000
astro-ph.GA,"cosmic rays, galactic gas, ionic and molecular matter, interstellar medium","cat:astro-ph.GA AND (all:""cosmic rays"" OR all:""galactic gas"" OR all:""ionic and molecular matter"" OR all:""interstellar medium"")",5,5,2026-07-03T13:00:19.457047+0000
astro-ph.GA,"gravitational disintegration, celestial mechanics, orbital dynamics, tidal forces, Roche limit","cat:astro-ph.GA AND (all:""gravitational disintegration"" OR all:""celestial mechanics"" OR all:""orbital dynamics"" OR all:""tidal forces"" OR all:""Roche limit"")",5,5,2026-07-03T13:00:25.149789+0000
astro-ph.GA,"supermassive black hole, Sagittarius A*, stellar orbits, solar mass units","cat:astro-ph.GA AND (all:""supermassive black hole"" OR all:""Sagittarius A*"" OR all:""stellar orbits"" OR all:""solar mass units"")",5,5,2026-07-03T13:00:31.641444+0000
astro-ph.GA,"rotating neutron star, stellar evolution, pulsar astronomy, compact objects, Crab pulsar","cat:astro-ph.GA AND (all:""rotating neutron star"" OR all:""stellar evolution"" OR all:""pulsar astronomy"" OR all:""compact objects"" OR all:""Crab pulsar"")",5,5,2026-07-03T13:00:38.711756+0000
astro-ph.GA,"ionic gas, galactic matter, cosmic rays, galactic framework, interstellar medium","cat:astro-ph.GA AND (all:""ionic gas"" OR all:""galactic matter"" OR all:""cosmic rays"" OR all:""galactic framework"" OR all:""interstellar medium"")",5,5,2026-07-03T13:00:46.927100+0000
astro-ph.GA,"stellar velocity, Doppler effect, redshift, observational astronomy, astronomical observation","cat:astro-ph.GA AND (all:""stellar velocity"" OR all:""Doppler effect"" OR all:""redshift"" OR all:""observational astronomy"" OR all:""astronomical observation"")",5,5,2026-07-03T13:01:13.435742+0000
astro-ph.GA,"astronomical measurements, stellar magnitude, apparent brightness, astronomical measurement, logarithmic scale","cat:astro-ph.GA AND (all:""astronomical measurements"" OR all:""stellar magnitude"" OR all:""apparent brightness"" OR all:""astronomical measurement"" OR all:""logarithmic scale"")",5,5,2026-07-03T13:01:25.429826+0000
astro-ph.GA,"Modified Newtonian Dynamics, baryonic mass, velocity dispersions, galaxy clusters","cat:astro-ph.GA AND (all:""Modified Newtonian Dynamics"" OR all:""baryonic mass"" OR all:""velocity dispersions"" OR all:""galaxy clusters"")",5,5,2026-07-03T13:01:34.602674+0000
astro-ph.GA,"light travel time, celestial observation, orbital mechanics, light-travel time, planetary motion","cat:astro-ph.GA AND (all:""light travel time"" OR all:""celestial observation"" OR all:""orbital mechanics"" OR all:""light-travel time"" OR all:""planetary motion"")",5,5,2026-07-03T13:01:40.325758+0000
astro-ph.GA,"ionic gas, cosmic rays, interstellar medium, galactic structures, intergalactic space","cat:astro-ph.GA AND (all:""ionic gas"" OR all:""cosmic rays"" OR all:""interstellar medium"" OR all:""galactic structures"" OR all:""intergalactic space"")",5,5,2026-07-03T13:01:50.605843+0000
astro-ph.GA,"astronomical distance, astronomical measurements, stellar metallicity, stellar composition, Kapteyn's star","cat:astro-ph.GA AND (all:""astronomical distance"" OR all:""astronomical measurements"" OR all:""stellar metallicity"" OR all:""stellar composition"" OR all:""Kapteyn's star"")",5,5,2026-07-03T13:01:56.336821+0000
astro-ph.GA,"supernova types, progenitor star, stellar metallicity, stellar evolution, progenitor stars","cat:astro-ph.GA AND (all:""supernova types"" OR all:""progenitor star"" OR all:""stellar metallicity"" OR all:""stellar evolution"" OR all:""progenitor stars"")",5,5,2026-07-03T13:02:01.608980+0000
astro-ph.GA,"spectral analysis, ultraviolet absorption, interstellar medium, atomic hydrogen, Lyman-alpha transition","cat:astro-ph.GA AND (all:""spectral analysis"" OR all:""ultraviolet absorption"" OR all:""interstellar medium"" OR all:""atomic hydrogen"" OR all:""Lyman-alpha transition"")",5,5,2026-07-03T13:02:06.281456+0000
astro-ph.GA,"Preon stars, WIMPs, MACHOs, axions, cold dark matter","cat:astro-ph.GA AND (all:""Preon stars"" OR all:""WIMPs"" OR all:""MACHOs"" OR all:""axions"" OR all:""cold dark matter"")",5,5,2026-07-03T13:02:11.893000+0000
astro-ph.GA,"Penrose process, black hole dynamics, rotational energy, ergosphere","cat:astro-ph.GA AND (all:""Penrose process"" OR all:""black hole dynamics"" OR all:""rotational energy"" OR all:""ergosphere"")",5,5,2026-07-03T13:02:16.594169+0000
astro-ph.GA,"hydrostatic equilibrium, molecular clouds, stellar formation, gravitational collapse","cat:astro-ph.GA AND (all:""hydrostatic equilibrium"" OR all:""molecular clouds"" OR all:""stellar formation"" OR all:""gravitational collapse"")",5,5,2026-07-03T13:02:21.097560+0000
astro-ph.GA,"galactic dynamics, dark matter, Modified Newtonian Dynamics, general relativity, universal gravitation","cat:astro-ph.GA AND (all:""galactic dynamics"" OR all:""dark matter"" OR all:""Modified Newtonian Dynamics"" OR all:""general relativity"" OR all:""universal gravitation"")",5,5,2026-07-03T13:02:25.792818+0000
astro-ph.GA,"stellar evolution, stellar composition, metallicity, Kapteyn's star, solar abundance","cat:astro-ph.GA AND (all:""stellar evolution"" OR all:""stellar composition"" OR all:""metallicity"" OR all:""Kapteyn's star"" OR all:""solar abundance"")",5,5,2026-07-03T13:02:30.528460+0000
astro-ph.GA,"supermassive black hole, orbital mechanics, Sagittarius A*, stellar orbits, solar masses","cat:astro-ph.GA AND (all:""supermassive black hole"" OR all:""orbital mechanics"" OR all:""Sagittarius A*"" OR all:""stellar orbits"" OR all:""solar masses"")",5,5,2026-07-03T13:02:35.983421+0000
astro-ph.GA,"distributed computing, gravitational waves, binary black holes, parallel analysis, Einstein@Home","cat:astro-ph.GA AND (all:""distributed computing"" OR all:""gravitational waves"" OR all:""binary black holes"" OR all:""parallel analysis"" OR all:""Einstein@Home"")",5,5,2026-07-03T13:02:40.876133+0000
astro-ph.GA,"high-velocity electrons, synchrotron emission, supernova remnants, magnetic fields, ionized gas","cat:astro-ph.GA AND (all:""high-velocity electrons"" OR all:""synchrotron emission"" OR all:""supernova remnants"" OR all:""magnetic fields"" OR all:""ionized gas"")",5,5,2026-07-03T13:02:46.602496+0000
astro-ph.GA,"stellar luminosity, Hertzsprung-Russell diagram, stellar evolution, dwarf stars, main sequence","cat:astro-ph.GA AND (all:""stellar luminosity"" OR all:""Hertzsprung-Russell diagram"" OR all:""stellar evolution"" OR all:""dwarf stars"" OR all:""main sequence"")",5,5,2026-07-03T13:02:51.891866+0000
astro-ph.GA,"substellar mass, Class L dwarfs, metal hydrides, hydrogen fusion, brown dwarfs","cat:astro-ph.GA AND (all:""substellar mass"" OR all:""Class L dwarfs"" OR all:""metal hydrides"" OR all:""hydrogen fusion"" OR all:""brown dwarfs"")",5,5,2026-07-03T13:02:57.009927+0000
astro-ph.GA,"interstellar chemistry, organic molecules, Stardust mission, molecular ices, cometary chemistry","cat:astro-ph.GA AND (all:""interstellar chemistry"" OR all:""organic molecules"" OR all:""Stardust mission"" OR all:""molecular ices"" OR all:""cometary chemistry"")",5,5,2026-07-03T13:03:01.485523+0000
astro-ph.GA,"galactic morphology, surface brightness, isophotal diameter, observational astronomy","cat:astro-ph.GA AND (all:""galactic morphology"" OR all:""surface brightness"" OR all:""isophotal diameter"" OR all:""observational astronomy"")",5,5,2026-07-03T13:03:06.383380+0000
astro-ph.GA,"observational cosmology, apparent surface brightness, galactic morphology, isophotal diameter, observational astronomy","cat:astro-ph.GA AND (all:""observational cosmology"" OR all:""apparent surface brightness"" OR all:""galactic morphology"" OR all:""isophotal diameter"" OR all:""observational astronomy"")",5,5,2026-07-03T13:03:11.256380+0000
math.DG,"degrees of freedom, mathematical dimension, intrinsic property, coordinate systems, extrinsic property","cat:math.DG AND (all:""degrees of freedom"" OR all:""mathematical dimension"" OR all:""intrinsic property"" OR all:""coordinate systems"" OR all:""extrinsic property"")",50,50,2026-07-03T13:03:15.770090+0000
math.DG,"degrees of freedom, mathematical dimension, independent parameters, spatial embedding, extrinsic property","cat:math.DG AND (all:""degrees of freedom"" OR all:""mathematical dimension"" OR all:""independent parameters"" OR all:""spatial embedding"" OR all:""extrinsic property"")",50,50,2026-07-03T13:03:20.327453+0000
math.DG,"geometric shapes, regular polytope, geometric symmetry, symmetry group, flag-transitivity","cat:math.DG AND (all:""geometric shapes"" OR all:""regular polytope"" OR all:""geometric symmetry"" OR all:""symmetry group"" OR all:""flag-transitivity"")",50,50,2026-07-03T13:03:25.223941+0000
astro-ph.HE,"molecular clouds, internal pressure, stellar formation, interstellar medium, gravitational collapse","cat:astro-ph.HE AND (all:""molecular clouds"" OR all:""internal pressure"" OR all:""stellar formation"" OR all:""interstellar medium"" OR all:""gravitational collapse"")",5,5,2026-07-03T13:03:31.993522+0000
astro-ph.HE,"gravitationally bound, orbital mechanics, non-stellar objects, planetary structure","cat:astro-ph.HE AND (all:""gravitationally bound"" OR all:""orbital mechanics"" OR all:""non-stellar objects"" OR all:""planetary structure"")",5,5,2026-07-03T13:03:37.701721+0000
astro-ph.HE,"astronomical spectroscopy, stellar velocity, Doppler effect, Fraunhofer lines","cat:astro-ph.HE AND (all:""astronomical spectroscopy"" OR all:""stellar velocity"" OR all:""Doppler effect"" OR all:""Fraunhofer lines"")",5,5,2026-07-03T13:03:42.212554+0000
astro-ph.HE,"energy shifts, radiation field, blueshifting, redshifting, light-matter interactions","cat:astro-ph.HE AND (all:""energy shifts"" OR all:""radiation field"" OR all:""blueshifting"" OR all:""redshifting"" OR all:""light-matter interactions"")",5,5,2026-07-03T13:03:47.527227+0000
astro-ph.HE,"cosmic rays, galactic gas, ionic and molecular matter, interstellar medium","cat:astro-ph.HE AND (all:""cosmic rays"" OR all:""galactic gas"" OR all:""ionic and molecular matter"" OR all:""interstellar medium"")",5,5,2026-07-03T13:03:52.379588+0000
astro-ph.HE,"gravitational disintegration, celestial mechanics, orbital dynamics, tidal forces, Roche limit","cat:astro-ph.HE AND (all:""gravitational disintegration"" OR all:""celestial mechanics"" OR all:""orbital dynamics"" OR all:""tidal forces"" OR all:""Roche limit"")",5,5,2026-07-03T13:03:56.897371+0000
astro-ph.HE,"supermassive black hole, Sagittarius A*, stellar orbits, solar mass units","cat:astro-ph.HE AND (all:""supermassive black hole"" OR all:""Sagittarius A*"" OR all:""stellar orbits"" OR all:""solar mass units"")",5,5,2026-07-03T13:04:01.651647+0000
astro-ph.HE,"rotating neutron star, stellar evolution, pulsar astronomy, compact objects, Crab pulsar","cat:astro-ph.HE AND (all:""rotating neutron star"" OR all:""stellar evolution"" OR all:""pulsar astronomy"" OR all:""compact objects"" OR all:""Crab pulsar"")",5,5,2026-07-03T13:04:06.175269+0000
astro-ph.HE,"ionic gas, galactic matter, cosmic rays, galactic framework, interstellar medium","cat:astro-ph.HE AND (all:""ionic gas"" OR all:""galactic matter"" OR all:""cosmic rays"" OR all:""galactic framework"" OR all:""interstellar medium"")",5,5,2026-07-03T13:04:11.036585+0000
astro-ph.HE,"stellar velocity, Doppler effect, redshift, observational astronomy, astronomical observation","cat:astro-ph.HE AND (all:""stellar velocity"" OR all:""Doppler effect"" OR all:""redshift"" OR all:""observational astronomy"" OR all:""astronomical observation"")",5,5,2026-07-03T13:04:15.828522+0000
astro-ph.HE,"astronomical measurements, stellar magnitude, apparent brightness, astronomical measurement, logarithmic scale","cat:astro-ph.HE AND (all:""astronomical measurements"" OR all:""stellar magnitude"" OR all:""apparent brightness"" OR all:""astronomical measurement"" OR all:""logarithmic scale"")",5,5,2026-07-03T13:04:19.872162+0000
astro-ph.HE,"Modified Newtonian Dynamics, baryonic mass, velocity dispersions, galaxy clusters","cat:astro-ph.HE AND (all:""Modified Newtonian Dynamics"" OR all:""baryonic mass"" OR all:""velocity dispersions"" OR all:""galaxy clusters"")",5,5,2026-07-03T13:04:24.465798+0000
astro-ph.HE,"light travel time, celestial observation, orbital mechanics, light-travel time, planetary motion","cat:astro-ph.HE AND (all:""light travel time"" OR all:""celestial observation"" OR all:""orbital mechanics"" OR all:""light-travel time"" OR all:""planetary motion"")",5,5,2026-07-03T13:04:29.175318+0000
astro-ph.HE,"ionic gas, cosmic rays, interstellar medium, galactic structures, intergalactic space","cat:astro-ph.HE AND (all:""ionic gas"" OR all:""cosmic rays"" OR all:""interstellar medium"" OR all:""galactic structures"" OR all:""intergalactic space"")",5,5,2026-07-03T13:04:34.165086+0000
astro-ph.HE,"astronomical distance, astronomical measurements, stellar metallicity, stellar composition, Kapteyn's star","cat:astro-ph.HE AND (all:""astronomical distance"" OR all:""astronomical measurements"" OR all:""stellar metallicity"" OR all:""stellar composition"" OR all:""Kapteyn's star"")",5,5,2026-07-03T13:04:38.922177+0000
astro-ph.HE,"supernova types, progenitor star, stellar metallicity, stellar evolution, progenitor stars","cat:astro-ph.HE AND (all:""supernova types"" OR all:""progenitor star"" OR all:""stellar metallicity"" OR all:""stellar evolution"" OR all:""progenitor stars"")",5,5,2026-07-03T13:04:43.873613+0000
astro-ph.HE,"spectral analysis, ultraviolet absorption, interstellar medium, atomic hydrogen, Lyman-alpha transition","cat:astro-ph.HE AND (all:""spectral analysis"" OR all:""ultraviolet absorption"" OR all:""interstellar medium"" OR all:""atomic hydrogen"" OR all:""Lyman-alpha transition"")",5,5,2026-07-03T13:04:49.793280+0000
astro-ph.HE,"Preon stars, WIMPs, MACHOs, axions, cold dark matter","cat:astro-ph.HE AND (all:""Preon stars"" OR all:""WIMPs"" OR all:""MACHOs"" OR all:""axions"" OR all:""cold dark matter"")",5,5,2026-07-03T13:04:54.642518+0000
astro-ph.HE,"Penrose process, black hole dynamics, rotational energy, ergosphere","cat:astro-ph.HE AND (all:""Penrose process"" OR all:""black hole dynamics"" OR all:""rotational energy"" OR all:""ergosphere"")",5,5,2026-07-03T13:04:59.157660+0000
astro-ph.HE,"hydrostatic equilibrium, molecular clouds, stellar formation, gravitational collapse","cat:astro-ph.HE AND (all:""hydrostatic equilibrium"" OR all:""molecular clouds"" OR all:""stellar formation"" OR all:""gravitational collapse"")",5,5,2026-07-03T13:05:03.876629+0000
astro-ph.HE,"galactic dynamics, dark matter, Modified Newtonian Dynamics, general relativity, universal gravitation","cat:astro-ph.HE AND (all:""galactic dynamics"" OR all:""dark matter"" OR all:""Modified Newtonian Dynamics"" OR all:""general relativity"" OR all:""universal gravitation"")",5,5,2026-07-03T13:05:08.565569+0000
astro-ph.HE,"stellar evolution, stellar composition, metallicity, Kapteyn's star, solar abundance","cat:astro-ph.HE AND (all:""stellar evolution"" OR all:""stellar composition"" OR all:""metallicity"" OR all:""Kapteyn's star"" OR all:""solar abundance"")",5,5,2026-07-03T13:05:13.733206+0000
astro-ph.HE,"supermassive black hole, orbital mechanics, Sagittarius A*, stellar orbits, solar masses","cat:astro-ph.HE AND (all:""supermassive black hole"" OR all:""orbital mechanics"" OR all:""Sagittarius A*"" OR all:""stellar orbits"" OR all:""solar masses"")",5,5,2026-07-03T13:05:19.857517+0000
astro-ph.HE,"distributed computing, gravitational waves, binary black holes, parallel analysis, Einstein@Home","cat:astro-ph.HE AND (all:""distributed computing"" OR all:""gravitational waves"" OR all:""binary black holes"" OR all:""parallel analysis"" OR all:""Einstein@Home"")",5,5,2026-07-03T13:06:33.071797+0000
astro-ph.HE,"high-velocity electrons, synchrotron emission, supernova remnants, magnetic fields, ionized gas","cat:astro-ph.HE AND (all:""high-velocity electrons"" OR all:""synchrotron emission"" OR all:""supernova remnants"" OR all:""magnetic fields"" OR all:""ionized gas"")",5,5,2026-07-03T13:07:35.610070+0000
astro-ph.HE,"stellar luminosity, Hertzsprung-Russell diagram, stellar evolution, dwarf stars, main sequence","cat:astro-ph.HE AND (all:""stellar luminosity"" OR all:""Hertzsprung-Russell diagram"" OR all:""stellar evolution"" OR all:""dwarf stars"" OR all:""main sequence"")",5,5,2026-07-03T13:07:47.350493+0000
