arxiv_category,keyword_group,query,requested_cap,n_fetched,timestamp
cond-mat.mtrl-sci,"electrical resistance, lattice vibrations, thermal vibration, metallic purity, ionic irregularities","cat:cond-mat.mtrl-sci AND (all:""electrical resistance"" OR all:""lattice vibrations"" OR all:""thermal vibration"" OR all:""metallic purity"" OR all:""ionic irregularities"")",13,13,2026-07-02T10:45:39.626017+0000
cond-mat.mtrl-sci,"high-frequency optics, high-frequency response, high-frequency refraction, optical transparency, electromagnetic absorption, dielectric loss, material transparency","cat:cond-mat.mtrl-sci AND (all:""high-frequency optics"" OR all:""high-frequency response"" OR all:""high-frequency refraction"" OR all:""optical transparency"" OR all:""electromagnetic absorption"" OR all:""dielectric loss"" OR all:""material transparency"")",13,13,2026-07-02T10:45:46.832808+0000
cond-mat.mtrl-sci,"electromagnetic absorption, high-frequency propagation, dielectric loss, material transparency","cat:cond-mat.mtrl-sci AND (all:""electromagnetic absorption"" OR all:""high-frequency propagation"" OR all:""dielectric loss"" OR all:""material transparency"")",13,13,2026-07-02T10:45:52.308763+0000
cond-mat.mtrl-sci,"crystal oscillators, piezoelectric strain coefficient, electromechanical coupling, AT-cut quartz, crystal lattice","cat:cond-mat.mtrl-sci AND (all:""crystal oscillators"" OR all:""piezoelectric strain coefficient"" OR all:""electromechanical coupling"" OR all:""AT-cut quartz"" OR all:""crystal lattice"")",13,13,2026-07-02T10:45:57.486352+0000
cond-mat.mtrl-sci,"inversion point, mirror plane, improper rotation, symmetry elements, rotation axis","cat:cond-mat.mtrl-sci AND (all:""inversion point"" OR all:""mirror plane"" OR all:""improper rotation"" OR all:""symmetry elements"" OR all:""rotation axis"")",13,13,2026-07-02T10:46:03.286619+0000
cond-mat.mtrl-sci,"three-dimensional space, crystallographic point groups, crystal systems, symmetry operations","cat:cond-mat.mtrl-sci AND (all:""three-dimensional space"" OR all:""crystallographic point groups"" OR all:""crystal systems"" OR all:""symmetry operations"")",13,13,2026-07-02T10:46:08.569645+0000
cond-mat.mtrl-sci,"NMR frequency, magnetic susceptibility, crystal susceptibility, magnetic field distortion, Evans balance","cat:cond-mat.mtrl-sci AND (all:""NMR frequency"" OR all:""magnetic susceptibility"" OR all:""crystal susceptibility"" OR all:""magnetic field distortion"" OR all:""Evans balance"")",13,13,2026-07-02T10:46:13.376477+0000
nlin.AO,"Ilya Prigogine, complexity from noise, dissipative structures, non-equilibrium thermodynamics","cat:nlin.AO AND (all:""Ilya Prigogine"" OR all:""complexity from noise"" OR all:""dissipative structures"" OR all:""non-equilibrium thermodynamics"")",100,19,2026-07-02T10:46:17.471358+0000
physics.ao-ph,"emerging organized systems, large-scale processes, emerging organized structures, aggregated feedback, time-varying multistability","cat:physics.ao-ph AND (all:""emerging organized systems"" OR all:""large-scale processes"" OR all:""emerging organized structures"" OR all:""aggregated feedback"" OR all:""time-varying multistability"")",37,6,2026-07-02T10:46:21.502841+0000
physics.ao-ph,"large-scale processes, organized frameworks, aggregated feedback, time-varying multistability, chaotic dynamics","cat:physics.ao-ph AND (all:""large-scale processes"" OR all:""organized frameworks"" OR all:""aggregated feedback"" OR all:""time-varying multistability"" OR all:""chaotic dynamics"")",37,37,2026-07-02T10:46:26.404362+0000
physics.ao-ph,"emerging organized frameworks, large-scale processes, aggregated feedback, time-varying multistability, emerging organized mechanisms","cat:physics.ao-ph AND (all:""emerging organized frameworks"" OR all:""large-scale processes"" OR all:""aggregated feedback"" OR all:""time-varying multistability"" OR all:""emerging organized mechanisms"")",37,6,2026-07-02T10:46:30.050473+0000
physics.ao-ph,"atmospheric refraction, light wavelength, spectral absorption, Rayleigh scattering","cat:physics.ao-ph AND (all:""atmospheric refraction"" OR all:""light wavelength"" OR all:""spectral absorption"" OR all:""Rayleigh scattering"")",37,18,2026-07-02T10:46:33.872325+0000
math.PR,"probability mass function, probability density function, continuous vs discrete distributions, random variables","cat:math.PR AND (all:""probability mass function"" OR all:""probability density function"" OR all:""continuous vs discrete distributions"" OR all:""random variables"")",100,100,2026-07-02T10:46:44.909071+0000
cond-mat.str-el,"magnetic fields, De Haas-Van Alphen effect, magnetization, Fermi surface, differential susceptibility","cat:cond-mat.str-el AND (all:""magnetic fields"" OR all:""De Haas-Van Alphen effect"" OR all:""magnetization"" OR all:""Fermi surface"" OR all:""differential susceptibility"")",13,13,2026-07-02T10:46:49.862938+0000
cond-mat.str-el,"quantum phenomena, magnetic field, electromagnetic phenomena, spin axis, superconductor, quantum mechanics","cat:cond-mat.str-el AND (all:""quantum phenomena"" OR all:""magnetic field"" OR all:""electromagnetic phenomena"" OR all:""spin axis"" OR all:""superconductor"" OR all:""quantum mechanics"")",13,13,2026-07-02T10:46:54.977376+0000
cond-mat.str-el,"density of states, metallic conductivity, electronic entropy, Fermi level, insulator properties","cat:cond-mat.str-el AND (all:""density of states"" OR all:""metallic conductivity"" OR all:""electronic entropy"" OR all:""Fermi level"" OR all:""insulator properties"")",13,13,2026-07-02T10:47:00.170388+0000
cond-mat.str-el,"microscopic length scales, permittivity, wavevector dependence, material parameters, spatial dispersion, continuous media","cat:cond-mat.str-el AND (all:""microscopic length scales"" OR all:""permittivity"" OR all:""wavevector dependence"" OR all:""material parameters"" OR all:""spatial dispersion"" OR all:""continuous media"")",13,13,2026-07-02T10:47:05.818350+0000
cond-mat.str-el,"density of states, solid-state physics, electronic entropy, Fermi level, insulators and metals","cat:cond-mat.str-el AND (all:""density of states"" OR all:""solid-state physics"" OR all:""electronic entropy"" OR all:""Fermi level"" OR all:""insulators and metals"")",13,13,2026-07-02T10:47:11.452493+0000
cond-mat.str-el,"physical structure, physical systems, phase transitions, symmetry breaking, order parameter","cat:cond-mat.str-el AND (all:""physical structure"" OR all:""physical systems"" OR all:""phase transitions"" OR all:""symmetry breaking"" OR all:""order parameter"")",13,13,2026-07-02T10:47:16.169065+0000
cond-mat.str-el,"physical framework, physical mechanisms, phase transitions, symmetry breaking, order parameter","cat:cond-mat.str-el AND (all:""physical framework"" OR all:""physical mechanisms"" OR all:""phase transitions"" OR all:""symmetry breaking"" OR all:""order parameter"")",13,13,2026-07-02T10:47:21.454383+0000
cond-mat.str-el,"magnetic field oscillations, AC permeability, De Haas-Van Alphen effect, Fermi surface, differential susceptibility","cat:cond-mat.str-el AND (all:""magnetic field oscillations"" OR all:""AC permeability"" OR all:""De Haas-Van Alphen effect"" OR all:""Fermi surface"" OR all:""differential susceptibility"")",13,13,2026-07-02T10:47:26.920023+0000
cond-mat.str-el,"collective field, electromagnetic gauge symmetry, superconductors, order parameter","cat:cond-mat.str-el AND (all:""collective field"" OR all:""electromagnetic gauge symmetry"" OR all:""superconductors"" OR all:""order parameter"")",13,13,2026-07-02T10:47:32.099194+0000
cond-mat.str-el,"magnetization dynamics, precessional motion, Landau-Lifshitz-Gilbert equation, ferromagnetic materials, micromagnetics","cat:cond-mat.str-el AND (all:""magnetization dynamics"" OR all:""precessional motion"" OR all:""Landau-Lifshitz-Gilbert equation"" OR all:""ferromagnetic materials"" OR all:""micromagnetics"")",13,13,2026-07-02T10:47:37.504727+0000
cond-mat.str-el,"magnetic dipoles, paramagnetism, unpaired electrons, thermal agitation, magnetic moments, dipole interaction, permanent moment, angular momentum","cat:cond-mat.str-el AND (all:""magnetic dipoles"" OR all:""paramagnetism"" OR all:""unpaired electrons"" OR all:""thermal agitation"" OR all:""magnetic moments"" OR all:""dipole interaction"" OR all:""permanent moment"" OR all:""angular momentum"")",13,13,2026-07-02T10:47:42.925228+0000
astro-ph.GA,"molecular clouds, internal pressure, stellar formation, interstellar medium, gravitational collapse","cat:astro-ph.GA AND (all:""molecular clouds"" OR all:""internal pressure"" OR all:""stellar formation"" OR all:""interstellar medium"" OR all:""gravitational collapse"")",7,7,2026-07-02T10:47:48.490074+0000
astro-ph.GA,"energy shifts, radiation field, blueshifting, redshifting, light-matter interactions","cat:astro-ph.GA AND (all:""energy shifts"" OR all:""radiation field"" OR all:""blueshifting"" OR all:""redshifting"" OR all:""light-matter interactions"")",7,7,2026-07-02T10:47:54.163821+0000
astro-ph.GA,"cosmic rays, galactic gas, ionic and molecular matter, interstellar medium","cat:astro-ph.GA AND (all:""cosmic rays"" OR all:""galactic gas"" OR all:""ionic and molecular matter"" OR all:""interstellar medium"")",7,7,2026-07-02T10:47:58.743300+0000
astro-ph.GA,"Crab pulsar, neutron star model, compact objects, pulsar astronomy, stellar evolution, rotating neutron star","cat:astro-ph.GA AND (all:""Crab pulsar"" OR all:""neutron star model"" OR all:""compact objects"" OR all:""pulsar astronomy"" OR all:""stellar evolution"" OR all:""rotating neutron star"")",7,7,2026-07-02T10:48:03.951655+0000
astro-ph.GA,"ionic gas, galactic matter, cosmic rays, galactic framework, interstellar medium","cat:astro-ph.GA AND (all:""ionic gas"" OR all:""galactic matter"" OR all:""cosmic rays"" OR all:""galactic framework"" OR all:""interstellar medium"")",7,7,2026-07-02T10:48:09.054497+0000
astro-ph.GA,"stellar velocity, Doppler effect, redshift, observational astronomy, astronomical observation","cat:astro-ph.GA AND (all:""stellar velocity"" OR all:""Doppler effect"" OR all:""redshift"" OR all:""observational astronomy"" OR all:""astronomical observation"")",7,7,2026-07-02T10:48:13.730657+0000
astro-ph.GA,"astronomical measurements, stellar magnitude, apparent brightness, astronomical measurement, logarithmic scale","cat:astro-ph.GA AND (all:""astronomical measurements"" OR all:""stellar magnitude"" OR all:""apparent brightness"" OR all:""astronomical measurement"" OR all:""logarithmic scale"")",7,7,2026-07-02T10:48:18.785872+0000
astro-ph.GA,"light travel time, celestial observation, orbital mechanics, light-travel time, planetary motion","cat:astro-ph.GA AND (all:""light travel time"" OR all:""celestial observation"" OR all:""orbital mechanics"" OR all:""light-travel time"" OR all:""planetary motion"")",7,7,2026-07-02T10:48:23.411117+0000
astro-ph.GA,"astronomical distance, astronomical measurements, stellar metallicity, stellar composition, Kapteyn's star","cat:astro-ph.GA AND (all:""astronomical distance"" OR all:""astronomical measurements"" OR all:""stellar metallicity"" OR all:""stellar composition"" OR all:""Kapteyn's star"")",7,7,2026-07-02T10:48:28.085833+0000
astro-ph.GA,"spectral analysis, ultraviolet absorption, interstellar medium, atomic hydrogen, Lyman-alpha transition","cat:astro-ph.GA AND (all:""spectral analysis"" OR all:""ultraviolet absorption"" OR all:""interstellar medium"" OR all:""atomic hydrogen"" OR all:""Lyman-alpha transition"")",7,7,2026-07-02T10:48:33.091324+0000
astro-ph.GA,"Preon stars, WIMPs, MACHOs, axions, cold dark matter","cat:astro-ph.GA AND (all:""Preon stars"" OR all:""WIMPs"" OR all:""MACHOs"" OR all:""axions"" OR all:""cold dark matter"")",7,7,2026-07-02T10:48:38.936756+0000
astro-ph.GA,"Penrose process, black hole dynamics, rotational energy, ergosphere","cat:astro-ph.GA AND (all:""Penrose process"" OR all:""black hole dynamics"" OR all:""rotational energy"" OR all:""ergosphere"")",7,7,2026-07-02T10:48:43.574348+0000
astro-ph.GA,"hydrostatic equilibrium, molecular clouds, stellar formation, gravitational collapse","cat:astro-ph.GA AND (all:""hydrostatic equilibrium"" OR all:""molecular clouds"" OR all:""stellar formation"" OR all:""gravitational collapse"")",7,7,2026-07-02T10:48:47.953011+0000
astro-ph.GA,"galactic dynamics, dark matter, Modified Newtonian Dynamics, general relativity, universal gravitation","cat:astro-ph.GA AND (all:""galactic dynamics"" OR all:""dark matter"" OR all:""Modified Newtonian Dynamics"" OR all:""general relativity"" OR all:""universal gravitation"")",7,7,2026-07-02T10:48:52.744252+0000
astro-ph.GA,"stellar evolution, stellar composition, metallicity, Kapteyn's star, solar abundance","cat:astro-ph.GA AND (all:""stellar evolution"" OR all:""stellar composition"" OR all:""metallicity"" OR all:""Kapteyn's star"" OR all:""solar abundance"")",7,7,2026-07-02T10:48:58.401459+0000
astro-ph.GA,"LIGO, parallel analysis, gravitational waves, binary black holes, Einstein@Home, distributed computing","cat:astro-ph.GA AND (all:""LIGO"" OR all:""parallel analysis"" OR all:""gravitational waves"" OR all:""binary black holes"" OR all:""Einstein@Home"" OR all:""distributed computing"")",7,7,2026-07-02T10:49:04.067691+0000
astro-ph.GA,"synchrotron emission, supernova remnants, high-velocity electrons, ionized gas, non-thermal emission, magnetic fields","cat:astro-ph.GA AND (all:""synchrotron emission"" OR all:""supernova remnants"" OR all:""high-velocity electrons"" OR all:""ionized gas"" OR all:""non-thermal emission"" OR all:""magnetic fields"")",7,7,2026-07-02T10:49:09.233228+0000
astro-ph.GA,"organic molecules, Stardust mission, molecular ices, interstellar ices, cometary chemistry, interstellar chemistry","cat:astro-ph.GA AND (all:""organic molecules"" OR all:""Stardust mission"" OR all:""molecular ices"" OR all:""interstellar ices"" OR all:""cometary chemistry"" OR all:""interstellar chemistry"")",7,7,2026-07-02T10:49:14.186034+0000
astro-ph.GA,"galactic morphology, surface brightness, isophotal diameter, observational astronomy","cat:astro-ph.GA AND (all:""galactic morphology"" OR all:""surface brightness"" OR all:""isophotal diameter"" OR all:""observational astronomy"")",7,7,2026-07-02T10:49:18.604123+0000
astro-ph.GA,"observational cosmology, apparent surface brightness, galactic morphology, isophotal diameter, observational astronomy","cat:astro-ph.GA AND (all:""observational cosmology"" OR all:""apparent surface brightness"" OR all:""galactic morphology"" OR all:""isophotal diameter"" OR all:""observational astronomy"")",7,7,2026-07-02T10:49:23.434618+0000
math.DG,"degrees of freedom, mathematical dimension, intrinsic property, coordinate systems, extrinsic property","cat:math.DG AND (all:""degrees of freedom"" OR all:""mathematical dimension"" OR all:""intrinsic property"" OR all:""coordinate systems"" OR all:""extrinsic property"")",50,50,2026-07-02T10:49:27.886458+0000
math.DG,"degrees of freedom, mathematical dimension, independent parameters, spatial embedding, extrinsic property","cat:math.DG AND (all:""degrees of freedom"" OR all:""mathematical dimension"" OR all:""independent parameters"" OR all:""spatial embedding"" OR all:""extrinsic property"")",50,50,2026-07-02T10:49:32.420306+0000
math.DG,"geometric shapes, regular polytope, geometric symmetry, symmetry group, flag-transitivity","cat:math.DG AND (all:""geometric shapes"" OR all:""regular polytope"" OR all:""geometric symmetry"" OR all:""symmetry group"" OR all:""flag-transitivity"")",50,50,2026-07-02T10:49:37.641261+0000
astro-ph.HE,"molecular clouds, internal pressure, stellar formation, interstellar medium, gravitational collapse","cat:astro-ph.HE AND (all:""molecular clouds"" OR all:""internal pressure"" OR all:""stellar formation"" OR all:""interstellar medium"" OR all:""gravitational collapse"")",7,7,2026-07-02T10:49:42.820531+0000
astro-ph.HE,"energy shifts, radiation field, blueshifting, redshifting, light-matter interactions","cat:astro-ph.HE AND (all:""energy shifts"" OR all:""radiation field"" OR all:""blueshifting"" OR all:""redshifting"" OR all:""light-matter interactions"")",7,7,2026-07-02T10:49:47.828138+0000
astro-ph.HE,"cosmic rays, galactic gas, ionic and molecular matter, interstellar medium","cat:astro-ph.HE AND (all:""cosmic rays"" OR all:""galactic gas"" OR all:""ionic and molecular matter"" OR all:""interstellar medium"")",7,7,2026-07-02T10:49:52.818497+0000
astro-ph.HE,"celestial mechanics, Roche limit, tidal forces, gravitational disintegration, orbital mechanics, orbital dynamics","cat:astro-ph.HE AND (all:""celestial mechanics"" OR all:""Roche limit"" OR all:""tidal forces"" OR all:""gravitational disintegration"" OR all:""orbital mechanics"" OR all:""orbital dynamics"")",7,7,2026-07-02T10:49:57.285640+0000
astro-ph.HE,"Crab pulsar, neutron star model, compact objects, pulsar astronomy, stellar evolution, rotating neutron star","cat:astro-ph.HE AND (all:""Crab pulsar"" OR all:""neutron star model"" OR all:""compact objects"" OR all:""pulsar astronomy"" OR all:""stellar evolution"" OR all:""rotating neutron star"")",7,7,2026-07-02T10:50:01.927158+0000
astro-ph.HE,"ionic gas, galactic matter, cosmic rays, galactic framework, interstellar medium","cat:astro-ph.HE AND (all:""ionic gas"" OR all:""galactic matter"" OR all:""cosmic rays"" OR all:""galactic framework"" OR all:""interstellar medium"")",7,7,2026-07-02T10:50:06.651883+0000
astro-ph.HE,"stellar velocity, Doppler effect, redshift, observational astronomy, astronomical observation","cat:astro-ph.HE AND (all:""stellar velocity"" OR all:""Doppler effect"" OR all:""redshift"" OR all:""observational astronomy"" OR all:""astronomical observation"")",7,7,2026-07-02T10:50:12.210033+0000
astro-ph.HE,"astronomical measurements, stellar magnitude, apparent brightness, astronomical measurement, logarithmic scale","cat:astro-ph.HE AND (all:""astronomical measurements"" OR all:""stellar magnitude"" OR all:""apparent brightness"" OR all:""astronomical measurement"" OR all:""logarithmic scale"")",7,7,2026-07-02T10:50:16.360311+0000
astro-ph.HE,"Modified Newtonian Dynamics, baryonic mass, velocity dispersions, galaxy clusters","cat:astro-ph.HE AND (all:""Modified Newtonian Dynamics"" OR all:""baryonic mass"" OR all:""velocity dispersions"" OR all:""galaxy clusters"")",7,7,2026-07-02T10:50:20.825861+0000
astro-ph.HE,"light travel time, celestial observation, orbital mechanics, light-travel time, planetary motion","cat:astro-ph.HE AND (all:""light travel time"" OR all:""celestial observation"" OR all:""orbital mechanics"" OR all:""light-travel time"" OR all:""planetary motion"")",7,7,2026-07-02T10:50:25.734710+0000
astro-ph.HE,"ionic gas, cosmic rays, interstellar medium, galactic structures, intergalactic space","cat:astro-ph.HE AND (all:""ionic gas"" OR all:""cosmic rays"" OR all:""interstellar medium"" OR all:""galactic structures"" OR all:""intergalactic space"")",7,7,2026-07-02T10:50:30.648299+0000
astro-ph.HE,"Preon stars, WIMPs, MACHOs, axions, cold dark matter","cat:astro-ph.HE AND (all:""Preon stars"" OR all:""WIMPs"" OR all:""MACHOs"" OR all:""axions"" OR all:""cold dark matter"")",7,7,2026-07-02T10:50:35.292828+0000
astro-ph.HE,"Penrose process, black hole dynamics, rotational energy, ergosphere","cat:astro-ph.HE AND (all:""Penrose process"" OR all:""black hole dynamics"" OR all:""rotational energy"" OR all:""ergosphere"")",7,7,2026-07-02T10:50:40.249267+0000
astro-ph.HE,"hydrostatic equilibrium, molecular clouds, stellar formation, gravitational collapse","cat:astro-ph.HE AND (all:""hydrostatic equilibrium"" OR all:""molecular clouds"" OR all:""stellar formation"" OR all:""gravitational collapse"")",7,7,2026-07-02T10:50:45.009176+0000
astro-ph.HE,"stellar evolution, stellar composition, metallicity, Kapteyn's star, solar abundance","cat:astro-ph.HE AND (all:""stellar evolution"" OR all:""stellar composition"" OR all:""metallicity"" OR all:""Kapteyn's star"" OR all:""solar abundance"")",7,7,2026-07-02T10:50:49.827816+0000
astro-ph.HE,"supermassive black hole, solar mass, Sagittarius A*, stellar orbits, orbital mechanics, solar masses","cat:astro-ph.HE AND (all:""supermassive black hole"" OR all:""solar mass"" OR all:""Sagittarius A*"" OR all:""stellar orbits"" OR all:""orbital mechanics"" OR all:""solar masses"")",7,7,2026-07-02T10:50:56.976879+0000
astro-ph.HE,"LIGO, parallel analysis, gravitational waves, binary black holes, Einstein@Home, distributed computing","cat:astro-ph.HE AND (all:""LIGO"" OR all:""parallel analysis"" OR all:""gravitational waves"" OR all:""binary black holes"" OR all:""Einstein@Home"" OR all:""distributed computing"")",7,7,2026-07-02T10:51:11.296912+0000
astro-ph.HE,"synchrotron emission, supernova remnants, high-velocity electrons, ionized gas, non-thermal emission, magnetic fields","cat:astro-ph.HE AND (all:""synchrotron emission"" OR all:""supernova remnants"" OR all:""high-velocity electrons"" OR all:""ionized gas"" OR all:""non-thermal emission"" OR all:""magnetic fields"")",7,7,2026-07-02T10:51:16.956085+0000
astro-ph.HE,"stellar luminosity, Hertzsprung-Russell diagram, stellar evolution, dwarf stars, main sequence","cat:astro-ph.HE AND (all:""stellar luminosity"" OR all:""Hertzsprung-Russell diagram"" OR all:""stellar evolution"" OR all:""dwarf stars"" OR all:""main sequence"")",7,7,2026-07-02T10:51:24.901472+0000
astro-ph.HE,"substellar mass, Class L dwarfs, metal hydrides, hydrogen fusion, brown dwarfs","cat:astro-ph.HE AND (all:""substellar mass"" OR all:""Class L dwarfs"" OR all:""metal hydrides"" OR all:""hydrogen fusion"" OR all:""brown dwarfs"")",7,7,2026-07-02T10:51:30.360616+0000
cond-mat.supr-con,"magnetic fields, De Haas-Van Alphen effect, magnetization, Fermi surface, differential susceptibility","cat:cond-mat.supr-con AND (all:""magnetic fields"" OR all:""De Haas-Van Alphen effect"" OR all:""magnetization"" OR all:""Fermi surface"" OR all:""differential susceptibility"")",16,16,2026-07-02T10:51:37.245898+0000
cond-mat.supr-con,"quantum phenomena, magnetic field, electromagnetic phenomena, spin axis, superconductor, quantum mechanics","cat:cond-mat.supr-con AND (all:""quantum phenomena"" OR all:""magnetic field"" OR all:""electromagnetic phenomena"" OR all:""spin axis"" OR all:""superconductor"" OR all:""quantum mechanics"")",16,16,2026-07-02T10:51:42.774227+0000
cond-mat.supr-con,"density of states, metallic conductivity, electronic entropy, Fermi level, insulator properties","cat:cond-mat.supr-con AND (all:""density of states"" OR all:""metallic conductivity"" OR all:""electronic entropy"" OR all:""Fermi level"" OR all:""insulator properties"")",16,16,2026-07-02T10:51:49.955469+0000
cond-mat.supr-con,"microscopic length scales, permittivity, wavevector dependence, material parameters, spatial dispersion, continuous media","cat:cond-mat.supr-con AND (all:""microscopic length scales"" OR all:""permittivity"" OR all:""wavevector dependence"" OR all:""material parameters"" OR all:""spatial dispersion"" OR all:""continuous media"")",16,16,2026-07-02T10:51:55.942472+0000
cond-mat.supr-con,"density of states, solid-state physics, electronic entropy, Fermi level, insulators and metals","cat:cond-mat.supr-con AND (all:""density of states"" OR all:""solid-state physics"" OR all:""electronic entropy"" OR all:""Fermi level"" OR all:""insulators and metals"")",16,16,2026-07-02T10:52:02.144121+0000
cond-mat.supr-con,"physical structure, physical systems, phase transitions, symmetry breaking, order parameter","cat:cond-mat.supr-con AND (all:""physical structure"" OR all:""physical systems"" OR all:""phase transitions"" OR all:""symmetry breaking"" OR all:""order parameter"")",16,16,2026-07-02T10:52:07.886638+0000
cond-mat.supr-con,"physical framework, physical mechanisms, phase transitions, symmetry breaking, order parameter","cat:cond-mat.supr-con AND (all:""physical framework"" OR all:""physical mechanisms"" OR all:""phase transitions"" OR all:""symmetry breaking"" OR all:""order parameter"")",16,16,2026-07-02T10:52:13.511825+0000
cond-mat.supr-con,"magnetic field oscillations, AC permeability, De Haas-Van Alphen effect, Fermi surface, differential susceptibility","cat:cond-mat.supr-con AND (all:""magnetic field oscillations"" OR all:""AC permeability"" OR all:""De Haas-Van Alphen effect"" OR all:""Fermi surface"" OR all:""differential susceptibility"")",16,16,2026-07-02T10:52:20.053709+0000
cond-mat.supr-con,"collective field, electromagnetic gauge symmetry, superconductors, order parameter","cat:cond-mat.supr-con AND (all:""collective field"" OR all:""electromagnetic gauge symmetry"" OR all:""superconductors"" OR all:""order parameter"")",16,16,2026-07-02T10:52:25.771550+0000
cond-mat.stat-mech,"heat transfer, forced convection, density displacement, buoyancy-driven flow, fluid dynamics, natural convection","cat:cond-mat.stat-mech AND (all:""heat transfer"" OR all:""forced convection"" OR all:""density displacement"" OR all:""buoyancy-driven flow"" OR all:""fluid dynamics"" OR all:""natural convection"")",8,8,2026-07-02T10:52:31.900075+0000
cond-mat.stat-mech,"internal state, thermodynamic operation, inhomogeneous physical structure, equilibrium dynamics, substructures","cat:cond-mat.stat-mech AND (all:""internal state"" OR all:""thermodynamic operation"" OR all:""inhomogeneous physical structure"" OR all:""equilibrium dynamics"" OR all:""substructures"")",8,8,2026-07-02T10:52:38.850841+0000
cond-mat.stat-mech,"internal state, thermodynamic operation, inhomogeneous physical system, subsystem isolation","cat:cond-mat.stat-mech AND (all:""internal state"" OR all:""thermodynamic operation"" OR all:""inhomogeneous physical system"" OR all:""subsystem isolation"")",8,8,2026-07-02T10:52:45.389648+0000
