domain_name,queries_attempted,pages_fetched,timestamp
Wave Optics,"Wave Optics, Young's double-slit interferometer, optical interference, diffraction pattern, spatial coherence",5,2026-07-03T12:36:57.495311+0000
Dimensional Analysis,"Dimensional Analysis, dimensional quantities, unit conversion, reciprocal length, inverse units",4,2026-07-03T12:37:10.399107+0000
Statistical Physics,"Statistical Physics, time-dependent frameworks, self-similar mechanisms, stochastic variables, dynamic scaling",5,2026-07-03T12:37:24.582130+0000
Astrochemistry,"Astrochemistry, interstellar chemistry, organic molecules, Stardust mission, molecular ices",4,2026-07-03T12:37:37.228498+0000
Geology,"Geology, crystallinity levels, hypercrystalline, hypocrystalline, holocrystalline",3,2026-07-03T12:37:48.663820+0000
Mechanical Engineering,"Mechanical Engineering, rotational mechanics, mechanical fasteners, torque application, right-hand rule",5,2026-07-03T12:38:03.143825+0000
Cardiac Anatomy,"Cardiac Anatomy, fibrous cardiac skeleton, atrioventricular septum, myocardial structure, heart valves",5,2026-07-03T12:38:16.857831+0000
Environmental Science,"Environmental Science, environmental studies, atmospheric sciences, Qatar University, marine science",5,2026-07-03T12:38:31.089955+0000
Geometry,"Geometry, mathematical dimension, independent parameters, degrees of freedom, intrinsic property",5,2026-07-03T12:38:45.633000+0000
Nanoelectronics,"Nanoelectronics, transition metal dichalcogenides, solution-processing technology, atomically thin nanomaterials, MoOx/MoS2 heterostructure",5,2026-07-03T12:38:59.966528+0000
Spintronics,"Spintronics, antiferromagnetic layer, blocking temperature, magnetic pinning, spin valve",5,2026-07-03T12:39:14.609146+0000
Energy Engineering,"Energy Engineering, infrastructure footprint, land use efficiency, energy mechanisms, nuclear power",5,2026-07-03T12:39:28.096478+0000
Acoustics,"Acoustics, loudness proportionality, frequency relationship, sound wave amplitude, acoustic properties",4,2026-07-03T12:39:40.935156+0000
Optical Engineering,"Optical Engineering, Optical Signal-to-Noise Ratio, dynamic range, bandwidth, signal power",5,2026-07-03T12:39:54.584629+0000
Metrology,"Metrology, international system of units, caesium frequency standard, time measurement, caesium atom transition",4,2026-07-03T12:40:09.168225+0000
Resource Economics,"Resource Economics, rare metal recycling, resource conservation, production tonnage, sustainable development",5,2026-07-03T12:40:23.188828+0000
Extragalactic Astronomy,"Extragalactic Astronomy, apparent surface brightness, observational astronomy, galactic morphology, isophotal diameter",5,2026-07-03T12:40:36.640984+0000
Cartography,"Cartography, geographic projection, map scale, representative fraction, spatial representation",4,2026-07-03T12:40:49.738981+0000
Geochronology,"Geochronology, radiometric dating, isotopic analysis, radioactive decay, geological time",5,2026-07-03T12:41:04.285932+0000
Existential Phenomenology,"Existential Phenomenology, temporal consciousness, Heideggerian ontology, being-towards-death, potentiality-to-be",4,2026-07-03T12:41:16.978890+0000
Chemical Engineering,"Chemical Engineering, carbon monoxide synthesis, Fischer-Tropsch process, industrial catalysis, catalytic chemistry",4,2026-07-03T12:41:30.267512+0000
Celestial Mechanics,"Celestial Mechanics, non-resonant-interacting, hierarchical frameworks, planetary interactions, orbital dynamics",5,2026-07-03T12:41:44.628519+0000
Wave Physics,"Wave Physics, propagation constant, complex numbers, sinusoidal waves, phase change",5,2026-07-03T12:41:59.601184+0000
Atmospheric Science,"Atmospheric Science, emerging organized structures, time-varying multistability, large-scale processes, aggregated feedback",5,2026-07-03T12:42:13.023892+0000
Petroleum Engineering,"Petroleum Engineering, hydrometer measurement, petroleum density, fluid properties, API gravity",5,2026-07-03T12:42:26.199582+0000
Immunology,"Immunology, Foxp3 expression, TGF-β signaling, tolerogenic DCs, Tr1 cells",5,2026-07-03T12:42:39.511723+0000
Algebraic Topology,"Algebraic Topology, discrete set boundary, dimension theory, critical points, cell complex",5,2026-07-03T12:42:53.645681+0000
Atmospheric Optics,"Atmospheric Optics, atmospheric refraction, light wavelength, spectral absorption, Rayleigh scattering",5,2026-07-03T12:43:07.570680+0000
Photometry,"Photometry, radiometric measurement, surface reflectance, light emission, luminous flux",5,2026-07-03T12:43:21.289533+0000
Philosophy Of Science,"Philosophy Of Science, horror vacui, Cartesian metaphysics, spatial-corporeal component, vacuum theory",5,2026-07-03T12:43:35.126133+0000
Space Physics,"Space Physics, Kelvin-Helmholtz instability, magnetic reconnection, plasma dynamics, magnetosphere",5,2026-07-03T12:43:48.215477+0000
Analytical Chemistry,"Analytical Chemistry, Fourier-transform infrared spectroscopy, frustrated total internal reflection, evanescent-wave coupling, volumetric analysis",5,2026-07-03T12:44:01.932293+0000
History Of Medicine,"History Of Medicine, physiological discovery, cardiovascular anatomy, pulmonary circulation, anatomical framework",5,2026-07-03T12:44:16.588427+0000
Geometry Theory,"Geometry Theory, geometric characterization, projective geometry, Erlangen program, group principle",5,2026-07-03T12:44:30.103591+0000
Space Science,"Space Science, round-trip transit time, Lunar Laser Ranging, Deep Space Network, radar astronomy",5,2026-07-03T12:44:43.826456+0000
Observational Cosmology,"Observational Cosmology, James Webb Space Telescope, redshift, Big Bang chronology, high-redshift galaxy",5,2026-07-03T12:44:58.268413+0000
Probability Theory,"Probability Theory, probability mass function, probability density function, continuous vs discrete distributions, random variables",5,2026-07-03T12:45:13.737757+0000
Magnetism Physics,"Magnetism Physics, Landau-Lifshitz-Gilbert equation, ferromagnetic materials, magnetization dynamics, precessional motion",5,2026-07-03T12:45:26.427933+0000
Control Systems Engineering,"Control Systems Engineering, linear time-invariant systems, mathematical modeling, signal processing, transfer function",5,2026-07-03T12:45:40.663869+0000
Hyperbolic Geometry,"Hyperbolic Geometry, vertex-transitive, hyperbolic plane, uniform tiling, tessellation",4,2026-07-03T12:45:53.561859+0000
Physics Units,"Physics Units, dimensional analysis, SI units, unit conversion, physical quantities",5,2026-07-03T12:46:08.226478+0000
Cell Biology,"Cell Biology, electrochemical gradient, cellular energetics, passive transport, osmosis",5,2026-07-03T12:46:21.227411+0000
Structural Engineering,"Structural Engineering, three moment theorem, support settlement, deflection curves, bending moments",5,2026-07-03T12:46:35.444870+0000
Quantum Chemistry,"Quantum Chemistry, molecular eigenvalues, electromagnetic Hamiltonian, symmetry labels, parity operation",5,2026-07-03T12:46:49.782157+0000
Aerospace Engineering,"Aerospace Engineering, X-ray pulsar-based navigation, spacecraft positioning, XNAV, celestial positioning",4,2026-07-03T12:47:02.477087+0000
Mammalian Physiology,"Mammalian Physiology, reproductive biology, mammary glands, mammalian anatomy, lactation",5,2026-07-03T12:47:16.922473+0000
Magnetic Resonance Imaging,"Magnetic Resonance Imaging, superconducting quantum interference devices, magnetization measurement, ultra-low field MRI, Larmor precession",4,2026-07-03T12:47:29.921842+0000
Magnetic Resonance Spectroscopy,"Magnetic Resonance Spectroscopy, NMR frequency, magnetic susceptibility, magnetic field distortion, Evans balance",5,2026-07-03T12:47:43.640516+0000
Microbial Ecology,"Microbial Ecology, metagenomics, bacteriophages, phageome, microbial communities",5,2026-07-03T12:47:57.567925+0000
Radiometry,"Radiometry, surface radiation, radiant flux, optical physics, radiosity",5,2026-07-03T12:48:11.268126+0000
Computational Astrophysics,"Computational Astrophysics, distributed computing, gravitational waves, binary black holes, parallel analysis",5,2026-07-03T12:48:25.216044+0000
Evolutionary Ecology,"Evolutionary Ecology, mutualistic symbiosis, myrmecophytes, mycorrhiza, coevolutionary dynamics",5,2026-07-03T12:48:39.449782+0000
Formal Logic,"Formal Logic, theorem derivation, formal framework, deductive rules, proof principle",5,2026-07-03T12:48:54.132707+0000
Marine Engineering,"Marine Engineering, tugboat performance, maritime propulsion, towing capacity, bollard pull",5,2026-07-03T12:49:07.963375+0000
Organic Chemistry,"Organic Chemistry, crystalline naphthalene, chemical reactivity, ionic stability, carbocation",5,2026-07-03T12:49:21.535975+0000
Complexity Theory,"Complexity Theory, Ilya Prigogine, complexity from noise, dissipative structures, non-equilibrium thermodynamics",5,2026-07-03T12:49:35.094145+0000
Projective Geometry,"Projective Geometry, Hesse's principle of transfer, projective transformations, rational normal curve, group isomorphism",5,2026-07-03T12:49:48.776099+0000
Cultural History,"Cultural History, feminine divine triad, Sicilian heraldry, triskeles symbol, Trinacria",5,2026-07-03T12:50:02.290499+0000
Evolutionary Developmental Biology,"Evolutionary Developmental Biology, developmental pathways, transcription factors, bilateral symmetry, Antirrhinum majus",5,2026-07-03T12:50:16.218117+0000
Chronometry,"Chronometry, Earth rotation irregularities, Coordinated Universal Time, leap second, atomic time scale",5,2026-07-03T12:50:29.733267+0000
Plant Morphology,"Plant Morphology, botanical structure, plant development, apical meristems, floral leaves",5,2026-07-03T12:50:44.277639+0000
Visual Arts & Optics,"Visual Arts & Optics, self-referential design, recursive imagery, optical illusion, Droste effect",5,2026-07-03T12:50:58.307860+0000
Quantum Magnetism,"Quantum Magnetism, unpaired electrons, dipole interaction, thermal agitation, magnetic dipoles",5,2026-07-03T12:51:14.791379+0000
Mathematical Physics,"Mathematical Physics, geometric quantization, mathematical framework, classical principle, quantum theory",5,2026-07-03T12:51:28.831027+0000
Magnetism,"Magnetism, magnetic susceptibility, magnetizing field intensity, magnetization, material classification",5,2026-07-03T12:51:45.715778+0000
Chemical Kinetics,"Chemical Kinetics, reaction mechanism analysis, intramolecular mechanisms, intermolecular pathways, crossover experiment",5,2026-07-03T12:51:58.828659+0000
Magnetic Resonance Physics,"Magnetic Resonance Physics, magnetic field distortion, crystal susceptibility, NMR frequency, Evans balance",5,2026-07-03T12:52:12.035051+0000
Optics Physics,"Optics Physics, corpuscular theory, rectilinear propagation, critical angle, Newton's optics",5,2026-07-03T12:52:32.933061+0000
Biological Sciences,"Biological Sciences, taxonomical categorization, functional morphology, anatomical definition, organismal structure",5,2026-07-03T12:52:47.342253+0000
Electrical Engineering,"Electrical Engineering, resistivity, intrinsic property, electrical current flow, ohm-meters",5,2026-07-03T12:53:01.289321+0000
