domain_name,count,domain_keywords
Cosmology,53,"[[""matter-antimatter imbalance"", ""quark-antiquark pairs"", ""baryon asymmetry"", ""early universe""], [""expansion history"", ""galactic observation"", ""galactic observations"", ""redshift-distance relationship"", ""matter and energy content""], [""light-years"", ""gigaparsecs"", ""proper distance"", ""redshift"", ""expansion of the universe""], [""scale factor"", ""Doppler effect"", ""cosmological redshift"", ""expansion of the universe""], [""galaxy distribution"", ""preferred length scale"", ""Baryon Acoustic Oscillations"", ""cosmic microwave background""], [""primordial symmetry"", ""cosmological evolution"", ""baryogenesis"", ""symmetry breaking"", ""matter-antimatter asymmetry""], [""cosmic inflation"", ""metric expansion"", ""inflaton field"", ""conformal cyclic cosmology""], [""Copernican principle"", ""inhomogeneous cosmology"", ""theoretical physics"", ""isotropic universe"", ""Lambda-CDM model"", ""dark energy models""]]"
Crystallography,37,"[[""inversion point"", ""mirror plane"", ""improper rotation"", ""symmetry elements"", ""rotation axis""], [""three-dimensional space"", ""crystallographic point groups"", ""crystal systems"", ""symmetry operations""]]"
History Of Science,34,"[[""Copernican principle"", ""Giordano Bruno"", ""celestial mechanics"", ""astronomical philosophy"", ""heliocentrism""], [""gravitational force"", ""centripetal force"", ""Hooke-Newton correspondence"", ""Newtonian mechanics""], [""Copernican principle"", ""Giordano Bruno"", ""Copernican concept"", ""Renaissance philosophy"", ""heliocentrism""], [""celestial mechanics"", ""Giordano Bruno"", ""Copernican framework"", ""astronomical philosophy""], [""classical mechanics history"", ""gravitational force"", ""centripetal force"", ""Newton-Hooke correspondence""], [""inverse square law"", ""tangential motion"", ""radially directed force"", ""Newton's manuscripts"", ""linear inertia"", ""Hooke's work""], [""Isaac Newton"", ""centripetal force"", ""scientific correspondence"", ""Robert Hooke"", ""gravitational theory""], [""Giordano Bruno"", ""Copernican concept"", ""Copernican framework"", ""Copernican theory"", ""astronomical philosophy"", ""heliocentrism""]]"
Electromagnetism,31,"[[""classical physics"", ""Maxwell's equations"", ""unified field theory"", ""electromagnetic theory""], [""magnetic susceptibility"", ""material properties"", ""magnetizing field intensity"", ""magnetization"", ""material classification""], [""electric field"", ""surface charge"", ""conductor proximity"", ""electrostatic interaction""], [""Gauss's law"", ""closed surface"", ""SI fundamental quantities"", ""cylindrical symmetry"", ""electric flux"", ""spherical symmetry""], [""stable equilibrium"", ""point charges"", ""Earnshaw's theorem"", ""electrostatic interaction""]]"
Molecular Symmetry,25,"[[""molecular geometry"", ""identical nuclei"", ""center of mass"", ""molecular rotation"", ""permutation-inversion groups"", ""symmetry operations""], [""identity operation"", ""point group theory"", ""molecular geometry"", ""symmetry groups""], [""identity operation"", ""center of inversion"", ""inversion center"", ""symmetry groups"", ""plane of symmetry"", ""center of mass""]]"
Quantum Physics,25,"[[""observable effects"", ""particle physics"", ""virtual particles"", ""quantum field theory""], [""energy distribution"", ""ultraviolet catastrophe"", ""electromagnetic radiation"", ""classical physics""], [""superconductivity"", ""Planck constant"", ""magnetic flux quantum"", ""Josephson effect"", ""SQUIDs""]]"
Nuclear Physics,25,"[[""high-voltage transformer"", ""particle kinetic energies"", ""heavy-ion fusion"", ""accelerator-based light-ion fusion""], [""particle kinetic energy"", ""high-voltage transformer"", ""light-ion fusion"", ""accelerator-based fusion""], [""nuclear transmutation"", ""free neutron decay"", ""mass defect"", ""decay energy""], [""nuclear transmutation"", ""beta decay"", ""free neutron decay"", ""MeV units"", ""decay energy""], [""rarefaction"", ""nuclear detonation"", ""atmospheric physics"", ""transient condensation cloud"", ""Wilson cloud"", ""transient condensation""]]"
Optics,21,"[[""Fresnel equations"", ""circular polarization"", ""wave optics"", ""total internal reflection""], [""principle of least time"", ""law of refraction"", ""Fermat's principle"", ""optical density""], [""wave theory of light"", ""corpuscular theory"", ""rectilinear propagation"", ""critical angle"", ""Newton's optics""]]"
Plant Biochemistry,20,"[[""fatty-acyl disorder"", ""thylakoid membranes"", ""membrane fluidity"", ""gel-to-liquid crystalline phase transition""]]"
Chaos Theory,19,"[[""butterfly effect"", ""dynamical systems"", ""sensitive dependence"", ""initial conditions""], [""butterfly effect"", ""INUS conditions"", ""unstable equilibrium"", ""Newtonian physics"", ""distributed causality""]]"
Ecology,18,"[[""mycorrhiza"", ""myrmecophytes"", ""mutualistic symbiosis"", ""coevolutionary dynamics""], [""coevolution"", ""mutualistic symbiosis"", ""myrmecophytes"", ""nutrient exchange"", ""mycorrhiza""], [""biotic interactions"", ""ecosystem dynamics"", ""ecological pyramid"", ""energy flow"", ""trophic level""], [""ecological pyramid"", ""energy flow"", ""food web dynamics"", ""trophic level"", ""food chain dynamics""], [""ecological pyramid"", ""energy flow"", ""trophic level"", ""ecomechanism"", ""ecostructure""]]"
Optical Physics,18,"[[""temperature gradient"", ""light absorption"", ""particle migration"", ""indirect photophoresis"", ""thermophoresis""], [""temperature gradient"", ""particle migration"", ""radiative forces"", ""indirect photophoresis"", ""incident light absorption""], [""linear polarization"", ""Fresnel equations"", ""total internal reflection"", ""circular polarization""], [""Fresnel equations"", ""circular polarization"", ""total internal reflection"", ""refractive indices"", ""wave optics""], [""frustrated TIR"", ""evanescent-wave coupling"", ""quantum tunneling"", ""total internal reflection"", ""FTIR""]]"
Classical Mechanics,16,"[[""macroscopic objects"", ""kinematics"", ""Euclidean space"", ""Newtonian physics"", ""physical quantities""], [""inertial property"", ""kinematics"", ""Newton's laws of motion"", ""constant velocity"", ""F=ma formula"", ""force-mass-acceleration"", ""F=ma""], [""macroscopic objects"", ""Euclidean space"", ""motion dynamics"", ""physical quantities""]]"
Astronomy,16,"[[""gravitationally bound"", ""planetary framework"", ""orbital mechanics"", ""non-stellar objects"", ""planetary structure""], [""non-stellar objects"", ""planetary system"", ""gravitationally bound"", ""orbital mechanics""], [""vacuum velocity"", ""light-year"", ""speed of light"", ""astronomical distances"", ""Julian year""], [""gravitationally bound"", ""planetary mechanism"", ""non-stellar objects"", ""orbital dynamics""]]"
Wave Optics,15,"[[""wave interference"", ""diffraction pattern"", ""optical physics"", ""angular spacing""], [""wave interference"", ""coherence length"", ""spatial coherence"", ""Young's double-slit interferometer"", ""optical interference"", ""visibility""]]"
Dimensional Analysis,15,"[[""dimensional quantities"", ""unit conversion"", ""reciprocal length"", ""inverse units""]]"
Statistical Physics,13,"[[""dynamic scaling"", ""time-dependent snapshots"", ""time-dependent frameworks"", ""time-dependent evolution"", ""stochastic variables"", ""self-similar mechanisms""], [""dynamic scaling"", ""stochastic variables"", ""time-dependent evolution"", ""self-similar systems""], [""dynamic scaling"", ""time-dependent evolution"", ""self-similar structures"", ""stochastic variables"", ""self-similar frameworks""]]"
Astrochemistry,13,"[[""organic molecules"", ""Stardust mission"", ""molecular ices"", ""interstellar ices"", ""cometary chemistry"", ""interstellar chemistry""]]"
Geology,13,"[[""hypercrystalline"", ""hypocrystalline"", ""hyperhyaline"", ""holocrystalline"", ""crystallinity levels"", ""crystallinity"", ""hypohyaline""]]"
Mechanical Engineering,13,"[[""rotational mechanics"", ""right-hand rule"", ""mechanical fasteners"", ""torque application""], [""fastener mechanics"", ""right-hand rule"", ""mechanical assembly"", ""torque application""]]"
Cardiac Anatomy,13,"[[""myocardial structure"", ""fibrous cardiac skeleton"", ""atrioventricular septum"", ""heart valves"", ""cardiac structure""]]"
Environmental Science,13,"[[""biological sciences"", ""environmental studies"", ""atmospheric sciences"", ""Qatar University"", ""marine science""]]"
Geometry,13,"[[""degrees of freedom"", ""mathematical dimension"", ""intrinsic property"", ""coordinate systems"", ""extrinsic property""], [""degrees of freedom"", ""mathematical dimension"", ""independent parameters"", ""spatial embedding"", ""extrinsic property""], [""geometric shapes"", ""regular polytope"", ""geometric symmetry"", ""symmetry group"", ""flag-transitivity""]]"
Nanoelectronics,13,"[[""memristive devices"", ""MoOx/MoS2 heterostructure"", ""solution-processing technology"", ""transition metal dichalcogenides"", ""memcapacitive effect""], [""MoOx/MoS2 heterostructure"", ""transition metal dichalcogenides"", ""memcapacitive effect"", ""Atomristor"", ""memristive behavior""], [""switching mechanism"", ""domain dynamics"", ""ferroelectric memristors"", ""piezoelectric field"", ""elastic strain""], [""memristive devices"", ""MoOx/MoS2 heterostructure"", ""transition metal dichalcogenides"", ""Atomristor"", ""atomically thin nanomaterials""]]"
Spintronics,12,"[[""spin valve"", ""N\u00e9el temperature"", ""blocking temperature"", ""magnetic pinning"", ""antiferromagnetic layer""]]"
Energy Engineering,12,"[[""nuclear power"", ""land use efficiency"", ""fossil fuels"", ""energy infrastructure"", ""renewable energy"", ""power density""], [""energy mechanisms"", ""infrastructure footprint"", ""renewable energy"", ""power density""], [""infrastructure footprint"", ""energy structures"", ""energy frameworks"", ""fossil fuels"", ""renewable energy"", ""power density""]]"
Acoustics,12,"[[""sound wave amplitude"", ""acoustic physics"", ""loudness perception"", ""wave properties""], [""loudness proportionality"", ""frequency relationship"", ""sound wave amplitude"", ""wave mechanics""], [""loudness proportionality"", ""wave mechanics"", ""acoustic properties"", ""sound wave amplitude"", ""loudness perception""]]"
Optical Engineering,12,"[[""Optical Signal-to-Noise Ratio"", ""signal power"", ""noise power"", ""bandwidth"", ""dynamic range""]]"
Metrology,12,"[[""caesium atom transition"", ""time measurement"", ""international system of units"", ""SI base units"", ""international system units"", ""caesium frequency standard""]]"
Resource Economics,12,"[[""rare metal recycling"", ""resource conservation"", ""production tonnage"", ""sustainable development""]]"
Extragalactic Astronomy,12,"[[""galactic morphology"", ""surface brightness"", ""isophotal diameter"", ""observational astronomy""], [""observational cosmology"", ""apparent surface brightness"", ""galactic morphology"", ""isophotal diameter"", ""observational astronomy""]]"
Cartography,11,"[[""geographic projection"", ""map scale"", ""representative fraction"", ""spatial representation""]]"
Geochronology,11,"[[""isotopic analysis"", ""isotope analysis"", ""radiometric dating"", ""isotopic dating"", ""radioactive decay"", ""geological time""]]"
Existential Phenomenology,11,"[[""Dasein"", ""historicality"", ""temporal existence"", ""temporal continuum""], [""Dasein"", ""temporal existence"", ""potentiality-to-be"", ""historicality"", ""Martin Heidegger""], [""temporal consciousness"", ""Dasein"", ""temporal existence"", ""being-towards-death"", ""Martin Heidegger""], [""temporality"", ""Dasein"", ""Heideggerian ontology"", ""being-towards-death"", ""historicality""]]"
Chemical Engineering,11,"[[""Fischer-Tropsch process"", ""industrial catalysis"", ""methane conversion"", ""carbon monoxide synthesis"", ""catalytic chemistry""]]"
Celestial Mechanics,11,"[[""non-resonant-interacting"", ""hierarchical systems"", ""orbital dynamics"", ""resonant systems""], [""planetary systems"", ""resonant structures"", ""hierarchical frameworks"", ""orbital dynamics""], [""hierarchical structures"", ""resonant systems"", ""orbital dynamics"", ""resonant mechanisms"", ""planetary frameworks""], [""hierarchical systems"", ""orbital dynamics"", ""planetary frameworks"", ""resonant structures"", ""planetary mechanisms""], [""planetary interactions"", ""hierarchical frameworks"", ""orbital dynamics"", ""resonant mechanisms""]]"
Wave Physics,11,"[[""propagation constant"", ""complex numbers"", ""sinusoidal waves"", ""phase change""]]"
Atmospheric Science,11,"[[""emerging organized systems"", ""large-scale processes"", ""emerging organized structures"", ""aggregated feedback"", ""time-varying multistability""], [""large-scale processes"", ""organized frameworks"", ""aggregated feedback"", ""time-varying multistability"", ""chaotic dynamics""], [""emerging organized frameworks"", ""large-scale processes"", ""aggregated feedback"", ""time-varying multistability"", ""emerging organized mechanisms""]]"
Petroleum Engineering,11,"[[""API gravity"", ""fluid properties"", ""petroleum density"", ""hydrometer measurement"", ""fluid viscosity""]]"
Immunology,11,"[[""Foxp3"", ""TGF-\u03b2 signaling"", ""Tr1 cells"", ""tolerogenic DCs"", ""IL-10"", ""Foxp3 expression"", ""TGF-\u03b2""]]"
Algebraic Topology,10,"[[""cell complex"", ""dimension theory"", ""n-skeleton"", ""critical points"", ""discrete set boundary"", ""CW complex""]]"
Atmospheric Optics,10,"[[""atmospheric refraction"", ""light wavelength"", ""spectral absorption"", ""Rayleigh scattering""]]"
Photometry,10,"[[""illuminance"", ""luminous flux"", ""radiometric measurement"", ""luminance"", ""surface radiance""], [""light emission"", ""surface reflectance"", ""illuminance"", ""luminous flux"", ""radiometric measurement"", ""luminance"", ""solid angle""]]"
Philosophy Of Science,10,"[[""horror vacui"", ""Cartesian metaphysics"", ""spatial-corporeal component"", ""vacuum theory""]]"
Space Physics,10,"[[""plasma dynamics"", ""magnetosphere"", ""solar wind"", ""Kelvin-Helmholtz instability"", ""magnetic reconnection""]]"
Analytical Chemistry,10,"[[""frustrated total internal reflection"", ""evanescent-wave coupling"", ""quantum tunneling"", ""Fourier-transform infrared spectroscopy"", ""spectroscopy mechanisms""], [""volumetric analysis"", ""density measurement"", ""fluid properties"", ""pycnometer""], [""total internal reflection microscopy"", ""frustrated TIR"", ""evanescent-wave coupling"", ""quantum tunneling"", ""FTIR""]]"
