cluster,exemplar_type,rank,distance_to_centroid,id,prompt,combined_text,label
4,closest,1,0.08114611357450485,959,Which of the following is correct? What is the explanation for the effective supersymmetry in quark-diquark models? among the listed options.,"Question: Which of the following is correct? What is the explanation for the effective supersymmetry in quark-diquark models? among the listed options.
A) Two different color charges close together appear as the corresponding anti-color under coarse resolution, which makes a diquark cluster viewed with coarse resolution effectively appear as an antiquark. Therefore, a baryon containing 3 valence quarks, of which two tend to cluster together as a diquark, behaves like a meson.
B) Two different color charges close together appear as the corresponding color under coarse resolution, which makes a diquark cluster viewed with coarse resolution effectively appear as a quark. Therefore, a baryon containing 3 valence quarks, of which two tend to cluster together as a diquark, behaves like a baryon.
C) Two different color charges close together appear as the corresponding color under fine resolution, which makes a diquark cluster viewed with fine resolution effectively appear as a quark. Therefore, a baryon containing 3 valence quarks, of which two tend to cluster together as a diquark, behaves like a baryon.
D) Two different color charges close together appear as the corresponding anti-color under fine resolution, which makes a diquark cluster viewed with fine resolution effectively appear as an antiquark. Therefore, a baryon containing 3 valence quarks, of which two tend to cluster together as a diquark, behaves like a meson.
E) Two different color charges close together appear as the corresponding anti-color under any resolution, which makes a diquark cluster viewed with any resolution effectively appear as an antiquark. Therefore, a baryon containing 3 valence quarks, of which two tend to cluster together as a diquark, behaves like a meson.",A
4,furthest,1,0.3177844285964966,340,Determine the correct option: What is the explanation for the effective supersymmetry in quark-diquark models? based on the given context.,"Question: Determine the correct option: What is the explanation for the effective supersymmetry in quark-diquark models? based on the given context.
A) Two different color charges close together appear as the corresponding anti-color under coarse resolution, which makes a diquark cluster viewed with coarse resolution effectively appear as an antiquark. Therefore, a baryon containing 3 valence quarks, of which two tend to cluster together as a diquark, behaves like a meson.
B) Two different color charges close together appear as the corresponding color under coarse resolution, which makes a diquark cluster viewed with coarse resolution effectively appear as a quark. Therefore, a baryon containing 3 valence quarks, of which two tend to cluster together as a diquark, behaves like a baryon.
C) Two different color charges close together appear as the corresponding color under fine resolution, which makes a diquark cluster viewed with fine resolution effectively appear as a quark. Therefore, a baryon containing 3 valence quarks, of which two tend to cluster together as a diquark, behaves like a baryon.
D) Two different color charges close together appear as the corresponding anti-color under fine resolution, which makes a diquark cluster viewed with fine resolution effectively appear as an antiquark. Therefore, a baryon containing 3 valence quarks, of which two tend to cluster together as a diquark, behaves like a meson.
E) Two different color charges close together appear as the corresponding anti-color under any resolution, which makes a diquark cluster viewed with any resolution effectively appear as an antiquark. Therefore, a baryon containing 3 valence quarks, of which two tend to cluster together as a diquark, behaves like a meson.",A
5,closest,1,0.05518534779548645,1598,What is the Kelvin-Helmholtz instability and how does it affect Earth's magnetosphere?,"Question: What is the Kelvin-Helmholtz instability and how does it affect Earth's magnetosphere?
A) The Kelvin-Helmholtz instability is a phenomenon that occurs when large swirls of plasma travel along the edge of the magnetosphere at a different velocity from the magnetosphere, causing the plasma to slip past. This results in magnetic reconnection, and as the magnetic field lines break and reconnect, solar wind particles are able to enter the magnetosphere.
B) The Kelvin-Helmholtz instability is a phenomenon that occurs when the magnetosphere is compared to a sieve because it allows solar wind particles to enter.
C) The Kelvin-Helmholtz instability is a phenomenon that occurs when Earth's bow shock is about 17 kilometers (11 mi) thick and located about 90,000 kilometers (56,000 mi) from Earth.
D) The Kelvin-Helmholtz instability is a phenomenon that occurs when the magnetic field extends in the magnetotail on Earth's nightside, which lengthwise exceeds 6,300,000 kilometers (3,900,000 mi).
E) The Kelvin-Helmholtz instability is a phenomenon that occurs when the magnetosphere is compressed by the solar wind to a distance of approximately 65,000 kilometers (40,000 mi) on the dayside of Earth. This results in the magnetopause existing at a distance of several hundred kilometers above Earth's surface.",A
5,furthest,1,0.09761514514684677,447,Identify the correct statement: What is the Kelvin-Helmholtz instability and how does it affect Earth's magnetosphere? among the listed options.,"Question: Identify the correct statement: What is the Kelvin-Helmholtz instability and how does it affect Earth's magnetosphere? among the listed options.
A) The Kelvin-Helmholtz instability is a phenomenon that occurs when large swirls of plasma travel along the edge of the magnetosphere at a different velocity from the magnetosphere, causing the plasma to slip past. This results in magnetic reconnection, and as the magnetic field lines break and reconnect, solar wind particles are able to enter the magnetosphere.
B) The Kelvin-Helmholtz instability is a phenomenon that occurs when the magnetosphere is compared to a sieve because it allows solar wind particles to enter.
C) The Kelvin-Helmholtz instability is a phenomenon that occurs when Earth's bow shock is about 17 kilometers (11 mi) thick and located about 90,000 kilometers (56,000 mi) from Earth.
D) The Kelvin-Helmholtz instability is a phenomenon that occurs when the magnetic field extends in the magnetotail on Earth's nightside, which lengthwise exceeds 6,300,000 kilometers (3,900,000 mi).
E) The Kelvin-Helmholtz instability is a phenomenon that occurs when the magnetosphere is compressed by the solar wind to a distance of approximately 65,000 kilometers (40,000 mi) on the dayside of Earth. This results in the magnetopause existing at a distance of several hundred kilometers above Earth's surface.",A
6,closest,1,0.010765747167170048,572,Select the most accurate option: What did Newton adopt after his correspondence with Hooke in 1679-1680? carefully.,"Question: Select the most accurate option: What did Newton adopt after his correspondence with Hooke in 1679-1680? carefully.
A) The language of inward or centripetal force.
B) The language of gravitational force.
C) The language of outward or centrifugal force.
D) The language of tangential and radial displacements.
E) The language of electromagnetic force.",A
6,furthest,1,0.0928545668721199,1632,Which of the following is correct? What did Newton adopt after his correspondence with Hooke in 1679-1680? based on the given context.,"Question: Which of the following is correct? What did Newton adopt after his correspondence with Hooke in 1679-1680? based on the given context.
A) The language of inward or centripetal force.
B) The language of gravitational force.
C) The language of outward or centrifugal force.
D) The language of tangential and radial displacements.
E) The language of electromagnetic force.",A
7,closest,1,0.012855044566094875,73,Determine the correct option: What did Newton's manuscripts of the 1660s show? among the listed options.,"Question: Determine the correct option: What did Newton's manuscripts of the 1660s show? among the listed options.
A) Newton learned about tangential motion and radially directed force or endeavour from Hooke's work.
B) Newton's manuscripts did not show any evidence of combining tangential motion with the effects of radially directed force or endeavour.
C) Newton combined tangential motion with the effects of radially directed force or endeavour and expressed the concept of linear inertia.
D) Newton's manuscripts showed that he learned about the inverse square law from Hooke's private papers.
E) Newton's manuscripts showed that he was indebted to Descartes' work, published in 1644, for the concept of linear inertia.",C
7,furthest,1,0.043889012187719345,977,What did Newton's manuscripts of the 1660s show?,"Question: What did Newton's manuscripts of the 1660s show?
A) Newton learned about tangential motion and radially directed force or endeavour from Hooke's work.
B) Newton's manuscripts did not show any evidence of combining tangential motion with the effects of radially directed force or endeavour.
C) Newton combined tangential motion with the effects of radially directed force or endeavour and expressed the concept of linear inertia.
D) Newton's manuscripts showed that he learned about the inverse square law from Hooke's private papers.
E) Newton's manuscripts showed that he was indebted to Descartes' work, published in 1644, for the concept of linear inertia.",C
8,closest,1,0.04449954256415367,1961,Determine the correct option: What is the Optical Signal-to-Noise Ratio (OSNR)? from the following choices.,"Question: Determine the correct option: What is the Optical Signal-to-Noise Ratio (OSNR)? from the following choices.
A) The Optical Signal-to-Noise Ratio (OSNR) is the ratio between the modulation frequency and the carrier frequency of an optical signal, used to describe the signal quality in structures where dynamic range is less than 6.02m.
B) The Optical Signal-to-Noise Ratio (OSNR) is the ratio between the signal power and the noise power in a given bandwidth, used to describe the signal quality without taking the receiver into account.
C) The Optical Signal-to-Noise Ratio (OSNR) is the ratio between the signal power and the noise power in a given bandwidth, used to describe the signal quality in situations where the dynamic range is less than 6.02m.
D) The Optical Signal-to-Noise Ratio (OSNR) is the ratio between the signal power and the noise power in a fixed bandwidth of 6.02m, used to describe the signal quality in structures where dynamic range is less than 6.02m.
E) The Optical Signal-to-Noise Ratio (OSNR) is the ratio between the signal power and the noise power in a given bandwidth, used to describe the signal quality in situations where the dynamic range is large or unpredictable.",B
8,furthest,1,0.10092675685882568,1805,Pick the best possible answer: What is the Optical Signal-to-Noise Ratio (OSNR)? among the listed options.,"Question: Pick the best possible answer: What is the Optical Signal-to-Noise Ratio (OSNR)? among the listed options.
A) The Optical Signal-to-Noise Ratio (OSNR) is the ratio between the modulation frequency and the carrier frequency of an optical signal, used to describe the signal quality in mechanisms where dynamic range is less than 6.02m.
B) The Optical Signal-to-Noise Ratio (OSNR) is the ratio between the signal power and the noise power in a given bandwidth, used to describe the signal quality without taking the receiver into account.
C) The Optical Signal-to-Noise Ratio (OSNR) is the ratio between the signal power and the noise power in a given bandwidth, used to describe the signal quality in situations where the dynamic range is less than 6.02m.
D) The Optical Signal-to-Noise Ratio (OSNR) is the ratio between the signal power and the noise power in a fixed bandwidth of 6.02m, used to describe the signal quality in mechanisms where dynamic range is less than 6.02m.
E) The Optical Signal-to-Noise Ratio (OSNR) is the ratio between the signal power and the noise power in a given bandwidth, used to describe the signal quality in situations where the dynamic range is large or unpredictable.",B
9,closest,1,0.1174008920788765,673,Select the most accurate option: What is the required excess quark per billion quark-antiquark pairs in the early universe in order to provide all the observed matter in the universe? based on the given context.,"Question: Select the most accurate option: What is the required excess quark per billion quark-antiquark pairs in the early universe in order to provide all the observed matter in the universe? based on the given context.
A) One
B) Five
C) Three
D) Two
E) Four",A
9,furthest,1,0.3007768988609314,1068,Identify the correct statement: What is the required excess quark per billion quark-antiquark pairs in the early universe in order to provide all the observed matter in the universe? based on the given context.,"Question: Identify the correct statement: What is the required excess quark per billion quark-antiquark pairs in the early universe in order to provide all the observed matter in the universe? based on the given context.
A) One
B) Five
C) Three
D) Two
E) Four",A
10,closest,1,0.09199333935976028,763,Choose the correct answer: What is the relationship between chemical potential and quarks/antiquarks? based on the given context.,"Question: Choose the correct answer: What is the relationship between chemical potential and quarks/antiquarks? based on the given context.
A) Chemical potential, represented by μ, is a measure of the imbalance between quarks and antiquarks in a mechanism. Higher μ indicates a stronger bias favoring quarks over antiquarks.
B) Chemical potential, represented by μ, is a measure of the balance between quarks and antiquarks in a structure. Higher μ indicates an equal number of quarks and antiquarks.
C) Chemical potential, represented by μ, is a measure of the imbalance between quarks and antiquarks in a structure. Higher μ indicates a stronger bias favoring antiquarks over quarks.
D) Chemical potential, represented by μ, is a measure of the density of antiquarks in a framework. Higher μ indicates a higher density of antiquarks.
E) Chemical potential, represented by μ, is a measure of the density of quarks in a mechanism. Higher μ indicates a higher density of quarks.",A
10,furthest,1,0.39162003993988037,58,Identify the correct statement: What is the relationship between chemical potential and quarks/antiquarks? based on the given context.,"Question: Identify the correct statement: What is the relationship between chemical potential and quarks/antiquarks? based on the given context.
A) Chemical potential, represented by μ, is a measure of the imbalance between quarks and antiquarks in a mechanism. Higher μ indicates a stronger bias favoring quarks over antiquarks.
B) Chemical potential, represented by μ, is a measure of the balance between quarks and antiquarks in a mechanism. Higher μ indicates an equal number of quarks and antiquarks.
C) Chemical potential, represented by μ, is a measure of the imbalance between quarks and antiquarks in a mechanism. Higher μ indicates a stronger bias favoring antiquarks over quarks.
D) Chemical potential, represented by μ, is a measure of the density of antiquarks in a framework. Higher μ indicates a higher density of antiquarks.
E) Chemical potential, represented by μ, is a measure of the density of quarks in a framework. Higher μ indicates a higher density of quarks.",A
11,closest,1,0.02310347929596901,505,Choose the correct answer: What was the aim of the Gravity Probe B (GP-B) mission? carefully.,"Question: Choose the correct answer: What was the aim of the Gravity Probe B (GP-B) mission? carefully.
A) To prove that pressure contributes equally to spacetime curvature as does mass-energy.
B) To measure spacetime curvature near Earth, with particular emphasis on gravitomagnetism.
C) To measure the distribution of Fe and Al on the Moon's surface.
D) To confirm the relatively large geodetic effect due to simple spacetime curvature, and is also known as de Sitter precession.
E) To measure the discrepancy between active and passive mass to about 10−12.",B
11,furthest,1,0.11787693202495575,1966,Determine the correct option: What was the aim of the Gravity Probe B (GP-B) mission? based on the given context.,"Question: Determine the correct option: What was the aim of the Gravity Probe B (GP-B) mission? based on the given context.
A) To prove that pressure contributes equally to spacetime curvature as does mass-energy.
B) To measure spacetime curvature near Earth, with particular emphasis on gravitomagnetism.
C) To measure the distribution of Fe and Al on the Moon's surface.
D) To confirm the relatively large geodetic effect due to simple spacetime curvature, and is also known as de Sitter precession.
E) To measure the discrepancy between active and passive mass to about 10−12.",B
12,closest,1,0.05208219587802887,29,Identify the correct statement: What is the reason for the formation of stars exclusively within molecular clouds? carefully.,"Question: Identify the correct statement: What is the reason for the formation of stars exclusively within molecular clouds? carefully.
A) The formation of stars occurs exclusively outside of molecular clouds.
B) The low temperatures and high densities of molecular clouds cause the gravitational force to exceed the internal pressures that are acting ""outward"" to prevent a collapse.
C) The low temperatures and low densities of molecular clouds cause the gravitational force to be less than the internal pressures that are acting ""outward"" to prevent a collapse.
D) The high temperatures and low densities of molecular clouds cause the gravitational force to exceed the internal pressures that are acting ""outward"" to prevent a collapse.
E) The high temperatures and high densities of molecular clouds cause the gravitational force to be less than the internal pressures that are acting ""outward"" to prevent a collapse.",B
12,furthest,1,0.32275915145874023,705,Identify the correct statement: What is the reason for the formation of stars exclusively within molecular clouds? based on the given context.,"Question: Identify the correct statement: What is the reason for the formation of stars exclusively within molecular clouds? based on the given context.
A) The formation of stars occurs exclusively outside of molecular clouds.
B) The low temperatures and high densities of molecular clouds cause the gravitational force to exceed the internal pressures that are acting ""outward"" to prevent a collapse.
C) The low temperatures and low densities of molecular clouds cause the gravitational force to be less than the internal pressures that are acting ""outward"" to prevent a collapse.
D) The high temperatures and low densities of molecular clouds cause the gravitational force to exceed the internal pressures that are acting ""outward"" to prevent a collapse.
E) The high temperatures and high densities of molecular clouds cause the gravitational force to be less than the internal pressures that are acting ""outward"" to prevent a collapse.",B
13,closest,1,0.05504392087459564,578,"Select the most accurate option: Which of the following statements accurately depicts the relationship between Gauss's law, electric flux, electric field, and symmetry in electric fields? among the listed options.","Question: Select the most accurate option: Which of the following statements accurately depicts the relationship between Gauss's law, electric flux, electric field, and symmetry in electric fields? among the listed options.
A) Gauss's law holds only for situations involving symmetric electric fields, like those with spherical or cylindrical symmetry, and doesn't apply to other field types. Electric flux, as an expression of the total electric field passing through a closed surface, is influenced only by charges within the surface and unaffected by distant charges located outside it. The scalar quantity electric flux is strictly measured in SI fundamental quantities as kg·m3·s−3·A.
B) Gauss's law holds in all cases, but it is most useful for calculations involving symmetric electric fields, like those with spherical or cylindrical symmetry, as they allow for simpler algebraic manipulations. Electric flux is not affected by distant charges outside the closed surface, whereas the net electric field, E, can be influenced by any charges positioned outside of the closed surface. In SI base units, the electric flux is expressed as kg·m3·s−3·A−1.
C) Gauss's law, which applies equally to all electric fields, is typically most useful when dealing with symmetric field configurations, like those with spherical or cylindrical symmetry, since it makes it easier to calculate the total electric flux. Electric flux, an expression of the total electric field through a closed surface, is unaffected by charges outside the surface, while net electric field, E, may be influenced by charges located outside the closed surface. Electric flux is expressed in SI base units as kg·m3·s−1·C.
D) Gauss's law only holds for electric fields with cylindrical symmetry, like those of a straight long wire; it is not applicable to fields with other types of symmetry. Electric flux, which measures the total electric field across a closed surface, is influenced by all charges within the surface as well as by those located outside it. The unit of electric flux in SI base units is kg·m2·s−2·A−1.
E) Gauss's law, which holds for all situations, is most beneficial when applied to electric fields that exhibit higher degrees of symmetry, like those with cylindrical and spherical symmetry. While electric flux is unaffected by charges outside of a given closed surface, the net electric field, E, may be affected by them. The unit of electric flux in SI base units is kg·m2·s−1·C.",B
13,furthest,1,0.19748616218566895,879,"Select the most accurate option: Which of the following statements accurately depicts the relationship between Gauss's law, electric flux, electric field, and symmetry in electric fields? based on the given context.","Question: Select the most accurate option: Which of the following statements accurately depicts the relationship between Gauss's law, electric flux, electric field, and symmetry in electric fields? based on the given context.
A) Gauss's law holds only for situations involving symmetric electric fields, like those with spherical or cylindrical symmetry, and doesn't apply to other field types. Electric flux, as an expression of the total electric field passing through a closed surface, is influenced only by charges within the surface and unaffected by distant charges located outside it. The scalar quantity electric flux is strictly measured in SI fundamental quantities as kg·m3·s−3·A.
B) Gauss's law holds in all cases, but it is most useful for calculations involving symmetric electric fields, like those with spherical or cylindrical symmetry, as they allow for simpler algebraic manipulations. Electric flux is not affected by distant charges outside the closed surface, whereas the net electric field, E, can be influenced by any charges positioned outside of the closed surface. In SI base units, the electric flux is expressed as kg·m3·s−3·A−1.
C) Gauss's law, which applies equally to all electric fields, is typically most useful when dealing with symmetric field configurations, like those with spherical or cylindrical symmetry, since it makes it easier to calculate the total electric flux. Electric flux, an expression of the total electric field through a closed surface, is unaffected by charges outside the surface, while net electric field, E, may be influenced by charges located outside the closed surface. Electric flux is expressed in SI base units as kg·m3·s−1·C.
D) Gauss's law only holds for electric fields with cylindrical symmetry, like those of a straight long wire; it is not applicable to fields with other types of symmetry. Electric flux, which measures the total electric field across a closed surface, is influenced by all charges within the surface as well as by those located outside it. The unit of electric flux in SI base units is kg·m2·s−2·A−1.
E) Gauss's law, which holds for all situations, is most beneficial when applied to electric fields that exhibit higher degrees of symmetry, like those with cylindrical and spherical symmetry. While electric flux is unaffected by charges outside of a given closed surface, the net electric field, E, may be affected by them. The unit of electric flux in SI base units is kg·m2·s−1·C.",B
14,closest,1,0.06797448545694351,1174,Choose the correct answer: What is the reason behind the largest externally observed electrical effects when two conductors are separated by the smallest distance without touching? based on the given context.,"Question: Choose the correct answer: What is the reason behind the largest externally observed electrical effects when two conductors are separated by the smallest distance without touching? based on the given context.
A) The surface charge on a conductor depends on the magnitude of the electric field, which in turn depends on the temperature between the surfaces.
B) The surface charge on a conductor depends on the magnitude of the magnetic field, which in turn depends on the distance between the surfaces.
C) The surface charge on a conductor depends on the magnitude of the electric field, which in turn depends on the angle between the surfaces.
D) The surface charge on a conductor depends on the magnitude of the electric field, which in turn depends on the distance between the surfaces.
E) The surface charge on a conductor depends on the magnitude of the electric field, which in turn depends on the pressure between the surfaces.",D
14,furthest,1,0.22561083734035492,1220,Determine the correct option: What is the reason behind the largest externally observed electrical effects when two conductors are separated by the smallest distance without touching?,"Question: Determine the correct option: What is the reason behind the largest externally observed electrical effects when two conductors are separated by the smallest distance without touching?
A) The surface charge on a conductor depends on the magnitude of the electric field, which in turn depends on the temperature between the surfaces.
B) The surface charge on a conductor depends on the magnitude of the magnetic field, which in turn depends on the distance between the surfaces.
C) The surface charge on a conductor depends on the magnitude of the electric field, which in turn depends on the angle between the surfaces.
D) The surface charge on a conductor depends on the magnitude of the electric field, which in turn depends on the distance between the surfaces.
E) The surface charge on a conductor depends on the magnitude of the electric field, which in turn depends on the pressure between the surfaces.",D
