arxiv_category,aggregated_keywords,contributing_domains
cond-mat.stat-mech,"[[""heat transfer"", ""forced convection"", ""density displacement"", ""buoyancy-driven flow"", ""fluid dynamics"", ""natural convection""], [""internal state"", ""thermodynamic operation"", ""inhomogeneous physical structure"", ""equilibrium dynamics"", ""substructures""], [""internal state"", ""thermodynamic operation"", ""inhomogeneous physical system"", ""subsystem isolation""], [""isolated system"", ""inhomogeneous physical framework"", ""internal state"", ""thermodynamic operation"", ""subframeworks""], [""grey bodies"", ""emissivity"", ""Stefan-Boltzmann law"", ""radiative behavior"", ""black-body radiation""], [""internal state"", ""thermodynamic operation"", ""inhomogeneous physical framework"", ""substructure equilibrium""], [""pressure drop"", ""adiabatic flow"", ""refrigeration cycle"", ""fluid dynamics"", ""throttling process"", ""flow resistance""], [""quasi-static process"", ""thermal reservoirs"", ""Carnot engine"", ""heat engine efficiency""], [""heat transfer"", ""surface properties"", ""radiative heat transfer"", ""emissivity"", ""thermal radiation""], [""surface phenomena"", ""non-volatile materials"", ""particle dynamics"", ""reactive Leidenfrost effect""], [""isolated system"", ""submechanisms"", ""inhomogeneous physical mechanism"", ""internal state"", ""thermodynamic operation""], [""isolated systems"", ""submechanisms"", ""inhomogeneous physical mechanism"", ""inhomogeneous physical framework"", ""internal state"", ""thermodynamic operation"", ""substructures""], [""statistical mechanics"", ""kinetic theory"", ""entropy"", ""Maxwell's Demon"", ""second law of thermodynamics""], [""cyclic process"", ""internal energy"", ""heat energy interconversions"", ""second law of thermodynamics"", ""conservation of energy""], [""dynamic scaling"", ""time-dependent snapshots"", ""time-dependent frameworks"", ""time-dependent evolution"", ""stochastic variables"", ""self-similar mechanisms""], [""dynamic scaling"", ""stochastic variables"", ""time-dependent evolution"", ""self-similar systems""], [""dynamic scaling"", ""time-dependent evolution"", ""self-similar structures"", ""stochastic variables"", ""self-similar frameworks""]]",Thermodynamics; Statistical Physics
hep-ph,"[[""early universe"", ""baryogenesis"", ""matter asymmetry"", ""quark-antiquark pairs""], [""quarks"", ""antiquarks"", ""particle density"", ""quantum chromodynamics"", ""chemical potential""], [""early universe"", ""baryogenesis"", ""quark-antiquark pairs"", ""matter-antimatter asymmetry"", ""baryon asymmetry""], [""mass generation"", ""elementary particles"", ""Higgs boson"", ""gauge bosons"", ""Standard Model""], [""proximity-focusing"", ""photon detector plane"", ""Cherenkov radiation"", ""Cherenkov emission"", ""RICH detector""], [""magnetic monopole"", ""electromagnetism"", ""elementary particle"", ""isolated magnetic pole""], [""CP symmetry"", ""weak interactions"", ""Nobel Prize physics"", ""Kobayashi-Maskawa matrix"", ""Standard Model""], [""noble liquid detectors"", ""interaction cross section"", ""dark matter experiments"", ""dark matter detection"", ""scintillation"", ""cryogenic detectors""], [""baryon structure"", ""color charges"", ""quark-diquark models"", ""effective supersymmetry""]]",Particle Physics
astro-ph.SR,"[[""molecular clouds"", ""internal pressure"", ""stellar formation"", ""interstellar medium"", ""gravitational collapse""], [""gravitationally bound"", ""orbital mechanics"", ""non-stellar objects"", ""planetary structure""], [""astronomical spectroscopy"", ""stellar velocity"", ""Doppler effect"", ""Fraunhofer lines""], [""energy shifts"", ""radiation field"", ""blueshifting"", ""redshifting"", ""light-matter interactions""], [""cosmic rays"", ""galactic gas"", ""ionic and molecular matter"", ""interstellar medium""], [""celestial mechanics"", ""Roche limit"", ""tidal forces"", ""gravitational disintegration"", ""orbital mechanics"", ""orbital dynamics""], [""supermassive black hole"", ""Sagittarius A*"", ""stellar orbits"", ""solar mass units""], [""Crab pulsar"", ""neutron star model"", ""compact objects"", ""pulsar astronomy"", ""stellar evolution"", ""rotating neutron star""], [""ionic gas"", ""galactic matter"", ""cosmic rays"", ""galactic framework"", ""interstellar medium""], [""stellar velocity"", ""Doppler effect"", ""redshift"", ""observational astronomy"", ""astronomical observation""], [""astronomical measurements"", ""stellar magnitude"", ""apparent brightness"", ""astronomical measurement"", ""logarithmic scale""], [""Modified Newtonian Dynamics"", ""baryonic mass"", ""velocity dispersions"", ""galaxy clusters""], [""light travel time"", ""celestial observation"", ""orbital mechanics"", ""light-travel time"", ""planetary motion""], [""ionic gas"", ""cosmic rays"", ""interstellar medium"", ""galactic structures"", ""intergalactic space""], [""astronomical distance"", ""astronomical measurements"", ""stellar metallicity"", ""stellar composition"", ""Kapteyn's star""], [""supernova types"", ""progenitor star"", ""stellar metallicity"", ""stellar evolution"", ""progenitor stars""], [""spectral analysis"", ""ultraviolet absorption"", ""interstellar medium"", ""atomic hydrogen"", ""Lyman-alpha transition""], [""Preon stars"", ""WIMPs"", ""MACHOs"", ""axions"", ""cold dark matter""], [""Penrose process"", ""black hole dynamics"", ""rotational energy"", ""ergosphere""], [""hydrostatic equilibrium"", ""molecular clouds"", ""stellar formation"", ""gravitational collapse""], [""galactic dynamics"", ""dark matter"", ""Modified Newtonian Dynamics"", ""general relativity"", ""universal gravitation""], [""stellar evolution"", ""stellar composition"", ""metallicity"", ""Kapteyn's star"", ""solar abundance""], [""supermassive black hole"", ""solar mass"", ""Sagittarius A*"", ""stellar orbits"", ""orbital mechanics"", ""solar masses""], [""LIGO"", ""parallel analysis"", ""gravitational waves"", ""binary black holes"", ""Einstein@Home"", ""distributed computing""], [""synchrotron emission"", ""supernova remnants"", ""high-velocity electrons"", ""ionized gas"", ""non-thermal emission"", ""magnetic fields""], [""stellar luminosity"", ""Hertzsprung-Russell diagram"", ""stellar evolution"", ""dwarf stars"", ""main sequence""], [""substellar mass"", ""Class L dwarfs"", ""metal hydrides"", ""hydrogen fusion"", ""brown dwarfs""]]",Astrophysics
quant-ph,"[[""wave function"", ""Hilbert space"", ""quantum framework"", ""complex vector space"", ""quantum state vector""], [""quantum mechanical structure"", ""Hilbert space"", ""quantum mechanics"", ""complex vector space"", ""state vector""], [""Hamiltonians"", ""partner Hamiltonians"", ""energy spectra"", ""eigenstates"", ""supersymmetric quantum mechanics""], [""noble gas"", ""wave framework"", ""Ramsauer-Townsend effect"", ""wave principle"", ""electron scattering"", ""quantum mechanics""], [""linear momentum"", ""quantum framework"", ""particle spin"", ""angular momentum"", ""quantum dynamics""], [""quantum mechanical mechanism"", ""Hilbert space"", ""quantum framework"", ""complex vector space"", ""state vector""], [""wave framework"", ""Ramsauer-Townsend effect"", ""noble gas interaction"", ""wave theory"", ""electron scattering""], [""quantum mechanical framework"", ""Hilbert space"", ""complex vector space"", ""state vector"", ""quantum state""], [""probability amplitudes"", ""wave function"", ""classical analogy"", ""quantum state""], [""spin quantum number"", ""elementary particles"", ""reduced Planck constant"", ""angular momentum""], [""physical framework"", ""linear momentum"", ""quantum mechanics"", ""particle spin"", ""angular momentum"", ""point-like motions""], [""Hamiltonians"", ""energy degeneracy"", ""eigenstates"", ""supersymmetric quantum mechanics""], [""quasiprobability distribution"", ""phase space"", ""quantum-mechanical interference"", ""Liouville density""], [""Wigner function"", ""phase-space integral"", ""Wigner transform"", ""Moyal bracket"", ""density matrix operator""], [""Ramsauer-Townsend effect"", ""noble gas interaction"", ""wave principle"", ""electron scattering""], [""quantized eigenvalues"", ""Heisenberg uncertainty principle"", ""spin"", ""tensorial operator"", ""angular momentum""], [""particle spin"", ""Newton's second law"", ""angular momentum"", ""point-like motions""], [""superposition principle"", ""probability amplitudes"", ""wave function"", ""superposition principles"", ""quantum state""], [""observable effects"", ""particle physics"", ""virtual particles"", ""quantum field theory""], [""energy distribution"", ""ultraviolet catastrophe"", ""electromagnetic radiation"", ""classical physics""], [""superconductivity"", ""Planck constant"", ""magnetic flux quantum"", ""Josephson effect"", ""SQUIDs""]]",Quantum Mechanics; Quantum Physics
math.MG,"[[""degrees of freedom"", ""mathematical dimension"", ""intrinsic property"", ""coordinate systems"", ""extrinsic property""], [""degrees of freedom"", ""mathematical dimension"", ""independent parameters"", ""spatial embedding"", ""extrinsic property""], [""geometric shapes"", ""regular polytope"", ""geometric symmetry"", ""symmetry group"", ""flag-transitivity""], [""hyperbolic plane"", ""isogonal"", ""vertex-transitive"", ""tessellation"", ""uniform tiling""]]",Geometry; Hyperbolic Geometry
math.AG,"[[""rational normal curve"", ""projective transformations"", ""group isomorphism"", ""isomorphic groups"", ""Hesse's principle of transfer""]]",Projective Geometry
physics.chem-ph,"[[""molecular geometry"", ""identical nuclei"", ""center of mass"", ""molecular rotation"", ""permutation-inversion groups"", ""symmetry operations""], [""identity operation"", ""point group theory"", ""molecular geometry"", ""symmetry groups""], [""identity operation"", ""center of inversion"", ""inversion center"", ""symmetry groups"", ""plane of symmetry"", ""center of mass""], [""organic molecules"", ""Stardust mission"", ""molecular ices"", ""interstellar ices"", ""cometary chemistry"", ""interstellar chemistry""], [""molecular eigenvalues"", ""electromagnetic Hamiltonian"", ""symmetry labels"", ""parity operation""], [""NMR frequency"", ""magnetic susceptibility"", ""magnetic field distortion"", ""Evans balance""], [""NMR frequency"", ""magnetic susceptibility"", ""crystal susceptibility"", ""magnetic field distortion"", ""Evans balance""], [""crossover experiment"", ""reaction mechanisms"", ""intramolecular mechanisms"", ""intermolecular pathways""], [""crossover experiment"", ""reaction mechanism analysis"", ""intermolecular mechanism"", ""intramolecular mechanism""], [""intermolecular mechanism"", ""crossover experiment"", ""reaction mechanisms"", ""reaction kinetics"", ""intramolecular mechanism""]]",Molecular Symmetry; Astrochemistry; Quantum Chemistry; Magnetic Resonance Spectroscopy; Magnetic Resonance Physics; Chemical Kinetics
math.HO,"[[""group principle"", ""projective geometry"", ""Erlangen program"", ""Felix Klein""], [""geometric characterization"", ""projective geometry"", ""group framework"", ""Erlangen program"", ""Felix Klein"", ""group theory""]]",Geometry Theory
math.LO,"[[""deductive rules"", ""proof framework"", ""formal framework"", ""axioms"", ""theorems""], [""proof principle"", ""deductive rules"", ""formal principle"", ""theorem derivation"", ""axioms""], [""proof principle"", ""deductive rules"", ""proof concept"", ""theorem derivation"", ""formal concept"", ""formal framework"", ""axioms""], [""proof principle"", ""deductive rules"", ""formal concept"", ""axioms"", ""theorems""]]",Formal Logic
nlin.CD,"[[""butterfly effect"", ""dynamical systems"", ""sensitive dependence"", ""initial conditions""], [""butterfly effect"", ""INUS conditions"", ""unstable equilibrium"", ""Newtonian physics"", ""distributed causality""]]",Chaos Theory
q-bio.PE,"[[""mutualistic symbiosis"", ""myrmecophytes"", ""mycorrhiza"", ""coevolutionary dynamics""]]",Evolutionary Ecology
nucl-ex,"[[""high-voltage transformer"", ""particle kinetic energies"", ""heavy-ion fusion"", ""accelerator-based light-ion fusion""], [""particle kinetic energy"", ""high-voltage transformer"", ""light-ion fusion"", ""accelerator-based fusion""], [""nuclear transmutation"", ""free neutron decay"", ""mass defect"", ""decay energy""], [""nuclear transmutation"", ""beta decay"", ""free neutron decay"", ""MeV units"", ""decay energy""], [""rarefaction"", ""nuclear detonation"", ""atmospheric physics"", ""transient condensation cloud"", ""Wilson cloud"", ""transient condensation""]]",Nuclear Physics
physics.med-ph,"[[""superconducting quantum interference devices"", ""magnetization measurement"", ""T1 relaxation"", ""magnetization"", ""Larmor precession"", ""ultra-low field MRI""]]",Magnetic Resonance Imaging
physics.optics,"[[""Fresnel equations"", ""circular polarization"", ""wave optics"", ""total internal reflection""], [""principle of least time"", ""law of refraction"", ""Fermat's principle"", ""optical density""], [""wave theory of light"", ""corpuscular theory"", ""rectilinear propagation"", ""critical angle"", ""Newton's optics""], [""temperature gradient"", ""light absorption"", ""particle migration"", ""indirect photophoresis"", ""thermophoresis""], [""temperature gradient"", ""particle migration"", ""radiative forces"", ""indirect photophoresis"", ""incident light absorption""], [""linear polarization"", ""Fresnel equations"", ""total internal reflection"", ""circular polarization""], [""Fresnel equations"", ""circular polarization"", ""total internal reflection"", ""refractive indices"", ""wave optics""], [""frustrated TIR"", ""evanescent-wave coupling"", ""quantum tunneling"", ""total internal reflection"", ""FTIR""], [""wave interference"", ""diffraction pattern"", ""optical physics"", ""angular spacing""], [""wave interference"", ""coherence length"", ""spatial coherence"", ""Young's double-slit interferometer"", ""optical interference"", ""visibility""], [""Optical Signal-to-Noise Ratio"", ""signal power"", ""noise power"", ""bandwidth"", ""dynamic range""], [""atmospheric refraction"", ""light wavelength"", ""spectral absorption"", ""Rayleigh scattering""], [""surface radiation"", ""radiant flux"", ""optical physics"", ""radiosity""], [""corpuscular theory"", ""rectilinear propagation"", ""critical angle"", ""Newton's optics""]]",Optics; Optical Physics; Wave Optics; Optical Engineering; Atmospheric Optics; Radiometry; Optics Physics
math.GR,"[[""group principle"", ""projective geometry"", ""Erlangen program"", ""Felix Klein""], [""geometric characterization"", ""projective geometry"", ""group framework"", ""Erlangen program"", ""Felix Klein"", ""group theory""]]",Geometry Theory
gr-qc,"[[""butterfly effect"", ""INUS conditions"", ""unstable equilibrium"", ""Newtonian physics"", ""distributed causality""], [""coordinate framework"", ""gravitational waves"", ""speed of gravity"", ""general relativity""], [""coordinate systems"", ""gravitational waves"", ""propagation speed"", ""general relativity""], [""equations of motion"", ""symmetry groups"", ""explicit symmetry breaking"", ""theoretical framework""], [""regularization"", ""mass-energy"", ""singularities"", ""renormalization"", ""quantum field theory""], [""INUS condition"", ""distributed causality"", ""Newtonian physics"", ""unstable equilibrium""], [""theoretical frameworks"", ""equations of motion"", ""symmetry principles"", ""explicit symmetry breaking"", ""theoretical mechanics""], [""angular momentum formalism"", ""Noether charge"", ""rotational invariance"", ""differential forms""], [""phase space continuity"", ""stochastic differential equations"", ""kinematic dynamo"", ""supersymmetry""], [""Maxwell's equations"", ""classical mechanics"", ""classical electrodynamics"", ""electromagnetism"", ""unified field theory""], [""spontaneous symmetry breaking"", ""local operator"", ""quantum field theory"", ""vacuum expectation value"", ""gauge symmetry""], [""stochastic supersymmetric principle"", ""hydromagnetic dynamo"", ""deterministic chaos"", ""kinematic approximation"", ""induction equation""], [""parity violation"", ""time invariance"", ""Ozma Problem"", ""parity"", ""mirror asymmetry"", ""chirality"", ""subatomic physics""], [""action principle"", ""Hamiltonian mechanics"", ""Euler-Lagrange equations"", ""Poisson algebra"", ""Peierls bracket"", ""quotient algebra"", ""canonical quantization""], [""approximate symmetry"", ""equations of motion"", ""explicit symmetry breaking"", ""symmetry principles""], [""special relativity"", ""spacetime physics"", ""inertial reference frame"", ""relativity of simultaneity""], [""classical mechanics"", ""wave-particle duality"", ""Euclidean space"", ""macroscopic motion"", ""quantum mechanics""], [""information loss paradox"", ""black hole evaporation"", ""Hawking radiation"", ""quantum mechanics""], [""special relativity"", ""Lorentz invariance"", ""Lorentz group"", ""boost velocity"", ""four-tensors"", ""spacetime manifold"", ""four-vectors""], [""special relativity"", ""four-dimensional model"", ""Minkowski space"", ""non-inertial reference frame"", ""spacetime manifold""], [""special relativity"", ""Minkowski diagram"", ""Lorentz transformations"", ""relativistic mechanics""], [""Modified Newtonian dynamics"", ""non-baryonic matter"", ""entropic gravity"", ""tensor\u2013vector\u2013scalar gravity""], [""maximal acceleration"", ""spacetime geometry"", ""Caianiello's theory"", ""quantum gravity""], [""linear momentum"", ""general principle of relativity"", ""frame dragging"", ""rotational momentum"", ""spacetime curvature""], [""gravitational permeability"", ""rotating matter"", ""time-varying gravitational fields"", ""gravitomagnetic interaction"", ""Meissner effect"", ""general relativity""], [""speed of gravity"", ""gravitational waves"", ""Einstein's field equations"", ""coordinate mechanism""], [""Schwarzschild black hole"", ""angular momentum"", ""spherical symmetry"", ""Birkhoff's theorem""], [""coordinate framework"", ""speed of gravity"", ""gravitational waves"", ""coordinate mechanism"", ""Einsteinian physics""], [""general principle of relativity"", ""rotational momentum"", ""linear frame dragging"", ""spacetime curvature""], [""gravitational permeability"", ""rotating matter"", ""general principle of relativity"", ""Meissner effect analogue"", ""gravitomagnetic interaction"", ""frame-dragging""], [""Gravity Probe B"", ""geodetic effect"", ""gravitomagnetism"", ""spacetime curvature"", ""de Sitter precession""], [""quadrupole formula"", ""gravitational waves"", ""wave amplitude"", ""spacetime oscillation""], [""LIGO data"", ""parallel analysis"", ""gravitational waves"", ""binary black holes"", ""distributed computing""]]",Theoretical Physics; General Relativity; Computational Astrophysics
